X.U.FEFF.game_accessibility,game_asset_license,game_ave_session,game_criteria,game_desc_len,game_developers,game_developers_url,game_genres,game_inputs,game_language,game_last_update,game_license,game_made_with,game_name,game_no_ratings,game_no_screenshots,game_platforms,game_price,game_publish_date,game_ranks,game_raw_scores,game_release_date,game_scores,game_size,game_source_code,game_status,game_submission_page,game_tags,game_url,jam_name,jam_url,reason
,,,Note générale||Respect du thème||Overall,538,Nibi52,https://nibi52.itch.io,,,,,,,entrainement,10,0,Windows||macOS,,,48||49||50,2.400||3.300||2.850,,2.105||2.894||2.500,,,On hold,https://itch.io/jam/gamecodeur-gamejam-18/rate/332206,,https://nibi52.itch.io/entrainement,Gamecodeur Game Jam #18,https://itch.io/jam/gamecodeur-gamejam-18,Incomplete
One button,,A few minutes,Design,791,ThoughtBread,https://thoughtbread.itch.io,Platformer,Mouse,,20 September 2018 @ 11:42,,Unreal Engine,Final Dusting: Ghostified,12,4,Windows,,02 September 2018 @ 20:49,371,3.167,,3.167,final-dusting-win64.zip||92 MB||||Windows,,On hold,https://itch.io/jam/gmtk-2018/rate/300865,Colorful||Mouse only||Physics||Singleplayer||Spooky||Unreal Engine,https://thoughtbread.itch.io/final-dusting,Game Maker's Toolkit Jam 2018,https://itch.io/jam/gmtk-2018,Incomplete
,,,,206,RichardKopelow,https://richardkopelow.itch.io,,,,02 August 2017 @ 01:23,,,ZipMiner,NA,1,,,14 April 2017 @ 00:06,,,,,ZipMiner_Linux.zip||30 MB||08 June 2017 @ 19:47||<>ZipMiner_Android.zip||20 MB||08 June 2017 @ 19:47||<>ZipMiner_Mac.zip||27 MB||08 June 2017 @ 19:47||<>ZipMiner_Windows_x64.zip||13 MB||08 June 2017 @ 19:47||<>ZipMiner_Windows_x86.zip||11 MB||08 June 2017 @ 19:47||,,On hold,https://itch.io/jam/1-bit-clicker-jam/rate/134474,Casual,https://richardkopelow.itch.io/zipminer,1-Bit Clicker jam,https://itch.io/jam/1-bit-clicker-jam,Incomplete
,,,,538,Delthor Games,https://delthor-games.itch.io,Platformer,,,,,Unity,The Remote Quest,NA,1,HTML5,,,,,,,,,On hold,https://itch.io/jam/weekly-game-jam-83/rate/370316,2D||8-Bit||Retro,https://delthor-games.itch.io/remote-quest,Weekly Game Jam - Week 83,https://itch.io/jam/weekly-game-jam-83,Incomplete
,,,,286,FuzzyLittleTurtle,https://fuzzylittleturtle.itch.io,Platformer,,,30 July 2017 @ 02:14,,,Dungeon of Flowers,NA,2,Windows,,28 July 2016 @ 16:17,,,,,Dungeon of Flowers.jar||691 kB||16 August 2016 @ 20:50||Windows,,On hold,https://itch.io/jam/a-game-by-its-cover-2016/rate/77601,,https://fuzzylittleturtle.itch.io/dungeon-of-flowers,A Game By Its Cover 2016,https://itch.io/jam/a-game-by-its-cover-2016,Incomplete
,,,People's Choice Vote,1051,Nicoli,https://anomrac21.itch.io,Action||Adventure,,,08 September 2019 @ 23:04,,,FlySpace,8,1,Windows,Name your own price,29 November 2018 @ 17:02,188,1.875,,1.875,FlySpace_ver0.8 [ !old version ] [ Combat and Crafting ]||123 MB||||Windows<>IMPROVEMENT MOVEMENT JAM 1 Version 0.9||94 MB||||<>[ How it Began ] !version 0.2||108 MB||||Windows,https://github.com/anomrac21/flySpace,On hold,https://itch.io/jam/igmc2018/rate/333466,Action-Adventure||Exploration||Space||Space Sim,https://anomrac21.itch.io/flyspace,Indie Game Making Contest 2018,https://itch.io/jam/igmc2018,Incomplete
,,,Originality||Fun Factor||Theme Relevance||Polish,606,impostrophe,https://impostrophe.itch.io,,,,,,,The Worm Hole - Demo,8,2,Windows,,,27||34||39||47,3.375||2.500||3.125||2.000,,3.019||2.236||2.795||1.789,TheWormHoleDemoUpdate.zip||113 MB||||Windows,,On hold,https://itch.io/jam/game-dev-network-dragon-jam/rate/174612,,https://impostrophe.itch.io/the-worm-hole-demo,GameDevNetwork: Dragon Jam,https://itch.io/jam/game-dev-network-dragon-jam,Incomplete
Textless,,A few minutes,Fun||Overall||Art & Audio||Use Of Theme,342,Ltven0mI||mathman,https://ltven0mi.itch.io||https://nerdybirb.itch.io,Puzzle,Keyboard,,,,LÖVE,DudeQuest,9,5,Windows||macOS||Linux,Name your own price,,1||3||5||18,4.333||3.519||3.889||2.333,,4.333||3.519||3.889||2.333,DudeQuest - Windows||9 MB||||Windows<>DudeQuest - Mac||9 MB||||macOS<>DudeQuest - Linux (requires LÖVE 0.10.1)||6 MB||||Linux,,On hold,https://itch.io/jam/rainbowjam16/rate/83039,2D||Colorful||Cute||LGBT||LÖVE||Pixel Art||Singleplayer||Top-Down,https://ltven0mi.itch.io/dudequest,#RainbowJam16,https://itch.io/jam/rainbowjam16,Incomplete
,,,,156,Sophie Houlden,https://sophieh.itch.io,Adventure||Interactive Fiction,,,,,,The Island Dreamer,NA,1,Windows||macOS||Linux,Name your own price,,,,,,The Island Dreamer (For OSX)||12 MB||||macOS<>The Island Dreamer (For Linux)||14 MB||||Linux<>The Island Dreamer (For Windows)||41 MB||||Windows,,On hold,https://itch.io/jam/myst-jam/rate/51173,,https://sophieh.itch.io/the-island-dreamer,Myst Jam,https://itch.io/jam/myst-jam,Incomplete
,,,,302,Anna 'Anaka' Jenelius,https://anaka.itch.io,,,,,,,Generica,NA,1,Unity,,,,,,,,,On hold,https://itch.io/jam/bring-out-your-dead/rate/72181,,https://anaka.itch.io/generica,Bring Out Your Dead,https://itch.io/jam/bring-out-your-dead,Incomplete
