game_tag,count
2d,11491
music,609
cool-game,1
emoji,16
game maker's toolkit jam,1895
text based,713
weird,481
top down shooter,824
,12513
pixel art,6354
simplistic,6
singleplayer,4191
top-down,1200
arcade,2723
my first game jam,1058
board game,215
game design,22
monsters,341
multiplayer,828
non-digital,1
tactical,113
mystery,449
atmospheric,818
chiptune,258
endless,695
high score,276
libgdx,65
relaxing,381
game jam,1736
match3,11
pico-8,570
prototype,95
minimalist,1006
tic-80,62
walking simulator,414
mouse only,432
narrative,462
short,2206
unity,3144
bullet hell,516
gamepad,163
mirrror,1
space-invaders,7
aaa,2
open world,93
twin stick shooter,153
stealth,376
escape game,148
battle-royale,25
retro,1736
roguelike,666
female protagonist,559
local multiplayer,703
3d,3112
psychedelic,59
hacking,63
management,195
cyberpunk,398
unreal engine,636
typing,96
physics,554
tower defense,387
fps,389
sorrywearelate,1
funny,945
skeletons,81
voxel,177
global game jam,241
roguelite,153
shoot 'em up,643
space,1721
pipe-connection-game,1
programmers-art,1
gmtk-game-jam-2018,2
schmup,5
fast-paced,678
pool,9
zombies,308
haywire,1
cooking,73
economy,53
artillery,6
cube,30
force-field,1
gravity,152
48hrs,3
beat 'em up,171
vector,130
story rich,764
point & click,579
hand-drawn,264
infiltration,8
thief,11
clicker,385
pong,91
backwards,1
colorful,655
experimental,861
real time strategy,160
chicken,50
dance,25
fight,19
van-damme,2
ccg,4
explosions,104
godot,477
difficult,568
jumping,352
rts,14
chess,70
dungeon crawler,395
construct 2,149
gamemaker,902
flight,138
bob,4
genre,1
atari,85
driving,134
gmtk-2018,3
magic,328
action-adventure,561
hack and slash,118
boring,24
meaningful choices,184
multiple endings,335
romance,509
match-3,21
sci-fi,852
game boy,577
asteroids,101
survival horror,237
zero gravity,36
fantasy,969
3d platformer,494
infinite-runner,367
one-button,343
fridge,1
sumo,10
wubs,1
wubsgames,2
dwarf,5
second-game-jam,2
blind-friendly,1
runner,418
golf,67
isometric,177
first-person,767
science-fictoon,1
jump-n-run,1
side scroller,530
train,34
abstract,642
parody,181
puzzle-platformer,923
aliens,396
tetris,82
gmtkjam2018,4
metroidvania,220
swords,80
dodge,31
reflex,16
touch-friendly,101
turn-based,300
turn-based strategy,139
wedge,1
city builder,86
animals,223
drunk,6
controller,227
2018,39
48h,3
drill-boy,1
jam,389
fps-platformer,42
drake,1
kanye,1
meme,30
rap,6
ghosts,275
pacman,16
match-three,3
deck building,20
snake,90
grapplinghook,1
80s,39
synth,8
trippy,8
8-bit,1448
space-shooter,16
comedy,519
16-bit,715
superhero,55
co-op,291
non violent,259
escape,27
ludum dare 38,91
mechs,182
simple,148
dark,537
top down adventure,212
bipolar,1
death,32
deep,1
dual-purpose,2
feels,1
love,122
sacrifice,3
building,16
casual,1485
game-makers-toolkit,16
windows,76
1vs1,5
versus,115
fishing,122
gmtk2017jam,1
programmable,1
combos,45
gmtk2018,5
sokoban,48
futuristic,171
medieval,151
planes,4
scrolling-shooter,1
ships,18
tyrian,1
dead-or-alive,1
