jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,jam_duration,jam_desc_len,jam_name_y,jam_no_illustrations,jam_no_videos,num_hosts,num_criteria
Overall||Use of Theme||Aesthetics||Gameplay||Polish||Audio||All-Round score,2017-06-11 11:40:00,UoB Games Dev. Soc.,1Up Jam 2017,4,7,3,2017-06-11 10:30:00,https://www.itch.io/jam/1up-jam-2017,y,1.1666666666666667,89,1Up Jam 2017,0,0,1,7
Overall||Graphics||Audio||Gameplay||Innovation||Fun||Theme,2018-12-05 02:15:00,FMProductions,Quickie Game Jam,2,1,2,2018-12-05 01:05:00,https://www.itch.io/jam/quickie-game-jam,y,1.1666666666666667,835,Quickie Game Jam,0,0,1,7
Overall||Visuals||Audio||Gameplay||Use of Theme,2017-10-29 16:30:00,UoB Games Dev. Soc.,GDS Halloween Jam 17,7,30,5,2017-10-29 15:00:00,https://www.itch.io/jam/gds-halloween-jam-17,y,1.5,51,GDS Halloween Jam 17,0,0,1,5
Overall,2018-06-17 14:40:00,salvatoregames,I Game Jam - Módulo,5,0,2,2018-06-17 12:50:00,https://www.itch.io/jam/i-game-jam-modulo,y,1.8333333333333333,54,I Game Jam - Módulo,0,0,1,1
Overall,2018-09-29 21:30:00,Pumpkin Clowning,babycastles flickgame jam,5,0,5,2018-09-29 19:00:00,https://www.itch.io/jam/babycastles-flickgame-jam,y,2.5,230,babycastles flickgame jam,0,1,1,1
Overall,2019-09-28 18:15:00,wedenigc,HüttenJam,13,0,6,2019-09-28 15:00:00,https://www.itch.io/jam/huettenjam,y,3.25,107,HüttenJam,0,0,1,1
Overall||Is it playable?||Is it fun?||Would you recommend this game to your friends?,2019-03-09 21:30:00,rocknightstudios,Trijam #10 Do you dare to try?,8,10,4,2019-03-09 18:00:00,https://www.itch.io/jam/trijam-10,y,3.5,1330,Trijam #10 Do you dare to try?,0,2,1,4
Overall||Is it playable?||Is it fun?||Would you recommend this game to your friends?,2019-03-02 21:30:00,rocknightstudios,Trijam #9 Do you dare to try?,7,18,4,2019-03-02 18:00:00,https://www.itch.io/jam/trijam-9,y,3.5,1148,Trijam #9 Do you dare to try?,0,2,1,4
Is this game playable?||Is this game fun?||Would you recommend this game to your friends?,2019-01-12 21:30:00,rocknightstudios,Trijam,9,22,5,2019-01-12 18:00:00,https://www.itch.io/jam/trijam,y,3.5,947,Trijam,0,1,1,3
Is it playable?||Is it fun?||Would you recommend this game to your friends?,2019-02-16 21:30:00,rocknightstudios,Trijam #7 Do you dare to try?,10,22,5,2019-02-16 18:00:00,https://www.itch.io/jam/trijam-7,y,3.5,1081,Trijam #7 Do you dare to try?,0,2,1,3
Is this game playable?||Is this game fun?||Would you recommend this game to your friends?,2019-01-19 21:30:00,rocknightstudios,Trijam #3,14,12,5,2019-01-19 18:00:00,https://www.itch.io/jam/trijam-3,y,3.5,1025,Trijam #3,0,2,1,3
Is it playable?||Is it fun?||Would you recommend this game to your friends?,2019-02-09 21:30:00,rocknightstudios,Trijam #6 Do you dare to try?,19,77,10,2019-02-09 18:00:00,https://www.itch.io/jam/trijam-6,y,3.5,1060,Trijam #6 Do you dare to try?,0,2,1,3
Is it playable?||Is it fun?||Would you recommend this game to your friends?,2019-01-26 21:30:00,rocknightstudios,Trijam #4,9,10,6,2019-01-26 18:00:00,https://www.itch.io/jam/trijam-4,y,3.5,1031,Trijam #4,0,2,1,3
Overall||Is it playable?||Is it fun?||Would you recommend this game to your friends?,2019-02-23 21:30:00,rocknightstudios,Trijam #8 Do you dare to try?,6,1,1,2019-02-23 18:00:00,https://www.itch.io/jam/trijam-8,y,3.5,1319,Trijam #8 Do you dare to try?,0,2,1,4
Overall,2017-10-06 01:50:00,salvatoregames,Senac - Oficina de Games - GeekWeek 2017,4,0,1,2017-10-05 22:00:00,https://www.itch.io/jam/senac-geekweek-2017,y,3.8333333333333335,951,Senac - Oficina de Games - GeekWeek 2017,2,0,1,1
Spookiness||Graphics||Gameplay||Sound||Game juice,2017-10-14 03:59:59,Yukon W.,IGDA Becker Chapter Halloween Jam 2017,5,4,4,2017-10-13 21:59:59,https://www.itch.io/jam/becker-igda-spoopy-jam,y,6.0,345,IGDA Becker Chapter Halloween Jam 2017,0,0,1,5
Overall||Is the game is playable ?||Is the game is enjoyable ?||Respect the GoT license ?||Respect the GoT Story ?||Would you buy it ?,2016-06-26 20:00:00,Jams.Center,"Gamejams of Thrones, S6E10",2,0,1,2016-06-26 13:00:00,https://www.itch.io/jam/gamejam-of-thrones,y,7.0,1894,"Gamejams of Thrones, S6E10",2,0,1,6
Gameplay||Originality||Polish||Theme,2018-12-19 02:00:00,AIE Seattle||terrehbyte,AIE's Battle for Train Jam 2018,10,0,6,2018-12-18 17:15:00,https://www.itch.io/jam/bftj2018,y,8.75,4819,AIE's Battle for Train Jam 2018,1,0,2,4
Overall||Gameplay||Theme||Originality||Polish,2017-12-16 02:29:59,AIE Seattle,Battle for Train Jam 2017,11,0,10,2017-12-15 17:00:00,https://www.itch.io/jam/bftj2017,y,9.499722222222223,2613,Battle for Train Jam 2017,0,0,1,5
Fun||Gameplay||Looks,2019-07-11 04:00:00,zimura,8x8  Jam,5,0,1,2019-07-10 18:00:00,https://www.itch.io/jam/8-x-8-jam,y,10.0,532,8x8  Jam,7,0,1,3
Gameplay||Mood||Art||Audio,2018-08-26 01:00:00,Pypranav,Four Hour Game Jam!,3,0,2,2018-08-25 14:00:00,https://www.itch.io/jam/four-hour-game-jam,y,11.0,1358,Four Hour Game Jam!,0,0,1,4
Overall,2018-11-03 20:00:00,Fuzzyundies,UL Game Jam 2018,3,0,2,2018-11-03 09:00:00,https://www.itch.io/jam/ul-game-jam-2018,y,11.0,0,UL Game Jam 2018,0,0,1,1
Overall||Gameplay / Mechanics||Theme-ness (use/application of theme)||Art / Visuals||Sound / Music||Writing / Story,2016-06-18 19:15:00,Galway Game Jam||Darren K,Galway Game Jam 6,31,52,8,2016-06-18 08:00:00,https://www.itch.io/jam/galwaygamejam6,y,11.25,4590,Galway Game Jam 6,0,0,2,6
Overall||Is the game playable?||Was the game submitted on time?||Is there an acheivale goal?||Is it the most unique idea?||Is it the most fun to play?||Does it have the best art appeal?||Does the music match the gameplay?||Is there a unique mechanic?,2019-03-18 05:19:00,Jajav33,OC Tilted Game Jam #12,4,0,3,2019-03-17 18:00:00,https://www.itch.io/jam/tilted-game-jam-12,y,11.316666666666666,28,OC Tilted Game Jam #12,1,0,1,9
Overall||Does the game follow the theme?||Is the game playable?||Was it submitted on time?||Is there an achievable goal?||Most unique idea?||Most fun to play?||Best art appeal?||Does music match gameplay?||Most unique mechanic?,2019-08-11 05:58:56,Jajav33,OC Tilted Game Jam 15,5,0,4,2019-08-10 18:00:00,https://www.itch.io/jam/oc-tilted-game-jam-15,y,11.982222222222223,122,OC Tilted Game Jam 15,1,0,1,10
Overall||Gameplay /  Game Mechanic(s)||Aestethics / Look & Feel (incl. sound)||Technical Wizardry,2016-11-05 21:00:00,Galway Game Jam||Darren K,Galway Game Jam 8,16,82,10,2016-11-05 09:00:00,https://www.itch.io/jam/galwaygamejam8,y,12.0,5241,Galway Game Jam 8,0,0,2,4
