game_language,count,percentage
english,5998,11.963698015358531
,43883,87.52966989129351
german,41,0.08177919617034009
japanese,22,0.043881519896280044
limburgish limburgan limburger,2,0.003989229081480004
portuguese (portugal),42,0.08377381071108009
russian,35,0.06981150892590007
spanish; castilian,106,0.2114291413184402
spanish; latin america,51,0.1017253415777401
arabic,14,0.02792460357036003
french,197,0.39293906452578037
portuguese (brazil),29,0.05784382168146006
italian,24,0.04787074897776005
polish,10,0.01994614540740002
esperanto,5,0.00997307270370001
korean,21,0.041886905355540044
slovak,4,0.007978458162960007
chinese (simplified),6,0.011967687244440013
chinese,12,0.023935374488880026
hebrew (modern),3,0.005983843622220006
mongolian,2,0.003989229081480004
vietnamese,6,0.011967687244440013
tagalog,2,0.003989229081480004
finnish,3,0.005983843622220006
kurdish,2,0.003989229081480004
czech,4,0.007978458162960007
hungarian,3,0.005983843622220006
ukrainian,4,0.007978458162960007
indonesian,8,0.015956916325920015
thai,3,0.005983843622220006
chinese (traditional),3,0.005983843622220006
malay,3,0.005983843622220006
dutch,4,0.007978458162960007
belarusian,2,0.003989229081480004
latin,3,0.005983843622220006
latvian,2,0.003989229081480004
slovene,2,0.003989229081480004
swedish,4,0.007978458162960007
persian,2,0.003989229081480004
norwegian bokmål,3,0.005983843622220006
norwegian,3,0.005983843622220006
catalan; valencian,2,0.003989229081480004
romanian moldavian moldovan,2,0.003989229081480004
afar,1,0.001994614540740002
abkhaz,1,0.001994614540740002
avestan,1,0.001994614540740002
afrikaans,1,0.001994614540740002
akan,1,0.001994614540740002
amharic,1,0.001994614540740002
aragonese,1,0.001994614540740002
assamese,1,0.001994614540740002
avaric,1,0.001994614540740002
aymara,1,0.001994614540740002
azerbaijani,1,0.001994614540740002
bashkir,1,0.001994614540740002
bulgarian,1,0.001994614540740002
bihari,1,0.001994614540740002
bislama,1,0.001994614540740002
bambara,1,0.001994614540740002
bengali,1,0.001994614540740002
tibetan standard tibetan central,1,0.001994614540740002
breton,1,0.001994614540740002
bosnian,1,0.001994614540740002
chechen,1,0.001994614540740002
chamorro,1,0.001994614540740002
corsican,1,0.001994614540740002
cree,1,0.001994614540740002
old church slavonic,1,0.001994614540740002
chuvash,1,0.001994614540740002
welsh,1,0.001994614540740002
danish,2,0.003989229081480004
divehi; dhivehi; maldivian;,1,0.001994614540740002
ewe,1,0.001994614540740002
greek modern,1,0.001994614540740002
estonian,1,0.001994614540740002
basque,3,0.005983843622220006
fula; fulah; pulaar; pular,1,0.001994614540740002
fijian,1,0.001994614540740002
faroese,1,0.001994614540740002
western frisian,1,0.001994614540740002
irish,1,0.001994614540740002
scottish gaelic; gaelic,1,0.001994614540740002
galician,1,0.001994614540740002
guaraní,1,0.001994614540740002
gujarati,1,0.001994614540740002
manx,1,0.001994614540740002
hausa,1,0.001994614540740002
hindi,2,0.003989229081480004
hiri motu,1,0.001994614540740002
croatian,1,0.001994614540740002
haitian; haitian creole,1,0.001994614540740002
armenian,1,0.001994614540740002
herero,1,0.001994614540740002
interlingua,1,0.001994614540740002
interlingue,1,0.001994614540740002
igbo,1,0.001994614540740002
nuosu,1,0.001994614540740002
inupiaq,1,0.001994614540740002
ido,1,0.001994614540740002
icelandic,1,0.001994614540740002
inuktitut,1,0.001994614540740002
javanese,1,0.001994614540740002
georgian,1,0.001994614540740002
kongo,1,0.001994614540740002
kikuyu gikuyu,1,0.001994614540740002
kwanyama kuanyama,1,0.001994614540740002
kazakh,1,0.001994614540740002
kalaallisut greenlandic,1,0.001994614540740002
khmer,1,0.001994614540740002
kannada,1,0.001994614540740002
kanuri,1,0.001994614540740002
kashmiri,1,0.001994614540740002
komi,1,0.001994614540740002
cornish,1,0.001994614540740002
kirghiz kyrgyz,1,0.001994614540740002
luxembourgish letzeburgesch,1,0.001994614540740002
luganda,1,0.001994614540740002
lingala,1,0.001994614540740002
lao,1,0.001994614540740002
lithuanian,1,0.001994614540740002
luba-katanga,1,0.001994614540740002
malagasy,1,0.001994614540740002
marshallese,1,0.001994614540740002
māori,1,0.001994614540740002
macedonian,1,0.001994614540740002
malayalam,1,0.001994614540740002
marathi (marāṭhī),1,0.001994614540740002
maltese,1,0.001994614540740002
burmese,1,0.001994614540740002
nauru,1,0.001994614540740002
north ndebele,1,0.001994614540740002
nepali,1,0.001994614540740002
ndonga,1,0.001994614540740002
norwegian nynorsk,1,0.001994614540740002
south ndebele,1,0.001994614540740002
navajo navaho,1,0.001994614540740002
chichewa; chewa; nyanja,1,0.001994614540740002
occitan,1,0.001994614540740002
ojibwe ojibwa,1,0.001994614540740002
oromo,1,0.001994614540740002
oriya,1,0.001994614540740002
ossetian ossetic,1,0.001994614540740002
panjabi punjabi,1,0.001994614540740002
pāli,1,0.001994614540740002
pashto pushto,1,0.001994614540740002
quechua,1,0.001994614540740002
romansh,1,0.001994614540740002
kirundi,1,0.001994614540740002
kinyarwanda,1,0.001994614540740002
sanskrit (saṁskṛta),1,0.001994614540740002
sardinian,1,0.001994614540740002
sindhi,1,0.001994614540740002
northern sami,1,0.001994614540740002
sango,1,0.001994614540740002
sinhala sinhalese,1,0.001994614540740002
samoan,1,0.001994614540740002
shona,1,0.001994614540740002
somali,1,0.001994614540740002
albanian,1,0.001994614540740002
serbian,1,0.001994614540740002
swati,1,0.001994614540740002
southern sotho,1,0.001994614540740002
sundanese,1,0.001994614540740002
swahili,1,0.001994614540740002
tamil,1,0.001994614540740002
telugu,1,0.001994614540740002
tajik,1,0.001994614540740002
tigrinya,1,0.001994614540740002
turkmen,1,0.001994614540740002
tswana,1,0.001994614540740002
tonga (tonga islands),1,0.001994614540740002
turkish,1,0.001994614540740002
tsonga,1,0.001994614540740002
tatar,1,0.001994614540740002
twi,1,0.001994614540740002
tahitian,1,0.001994614540740002
uighur uyghur,1,0.001994614540740002
urdu,1,0.001994614540740002
uzbek,1,0.001994614540740002
venda,1,0.001994614540740002
volapük,1,0.001994614540740002
walloon,1,0.001994614540740002
wolof,1,0.001994614540740002
xhosa,1,0.001994614540740002
yiddish,1,0.001994614540740002
yoruba,1,0.001994614540740002
zhuang chuang,1,0.001994614540740002
