game_tags,count,percentage
2d,11460,22.85828263688042
game maker's toolkit jam,1895,3.779794554702304
shoot 'em up,643,1.2825371496958213
space,1719,3.4287423955320633
battle-royale,25,0.04986536351850005
short,2199,4.386157375087264
singleplayer,4172,8.321531863967289
unity,3143,6.269073501545826
cool-game,1,0.001994614540740002
emoji,16,0.03191383265184003
text based,713,1.4221601675476214
weird,477,0.9514311359329809
top down shooter,824,1.6435623815697618
,12357,24.647451879924205
pixel art,6342,12.649845417373093
simplistic,6,0.011967687244440013
top-down,1195,2.383564376184302
arcade,2725,5.435324623516506
my first game jam,1058,2.110302184102922
board game,215,0.42884212625910045
game design,22,0.043881519896280044
monsters,340,0.6781689438516006
multiplayer,828,1.6515408397327216
non-digital,1,0.001994614540740002
tactical,112,0.22339682856288023
mystery,442,0.8816196270070809
atmospheric,812,1.6196270070808816
chiptune,259,0.5166051660516605
endless,694,1.3842624912735615
high score,275,0.5485189987035005
libgdx,65,0.12964994514810013
relaxing,381,0.7599481400219408
game jam,1736,3.4626508427246434
match3,11,0.021940759948140022
pico-8,570,1.136930288221801
prototype,95,0.1894883813703002
minimalist,1005,2.004587613443702
tic-80,62,0.12366610152588012
walking simulator,413,0.8237758053256208
mouse only,432,0.8616734815996808
narrative,462,0.9215119178218809
bullet hell,517,1.0312157175625811
gamepad,162,0.3231275555998803
mirrror,1,0.001994614540740002
space-invaders,7,0.013962301785180015
aaa,2,0.003989229081480004
open world,92,0.18350453774808018
twin stick shooter,153,0.3051760247332203
stealth,376,0.7499750673182407
escape game,148,0.2952029520295203
music,606,1.2087364116884411
retro,1732,3.4546723845616834
roguelike,665,1.3264186695921014
female protagonist,543,1.083075695621821
local multiplayer,703,1.4022140221402215
3d,3112,6.207240450782886
psychedelic,59,0.11768225790366012
hacking,63,0.12566071606662013
management,195,0.3889498354443004
cyberpunk,398,0.7938565872145208
unreal engine,636,1.2685748479106413
typing,96,0.1914829959110402
physics,554,1.105016455569961
funny,938,1.8709484392141218
skeletons,81,0.16156377779994016
voxel,177,0.35304677371098037
fps,389,0.7759050563478608
sorrywearelate,1,0.001994614540740002
tower defense,387,0.7719158272663807
global game jam,241,0.4807021043183405
roguelite,153,0.3051760247332203
pipe-connection-game,1,0.001994614540740002
programmers-art,1,0.001994614540740002
jump-n-run,1,0.001994614540740002
side scroller,528,1.053156477510721
gmtk-game-jam-2018,2,0.003989229081480004
schmup,5,0.00997307270370001
fast-paced,676,1.3483594295402412
pool,9,0.01795153086666002
zombies,308,0.6143412785479206
haywire,1,0.001994614540740002
cooking,73,0.14560686147402013
economy,53,0.1057145706592201
artillery,6,0.011967687244440013
cube,30,0.05983843622220006
force-field,1,0.001994614540740002
gravity,152,0.3031814101924803
48hrs,3,0.005983843622220006
beat 'em up,171,0.34107908646654034
vector,130,0.25929989029620026
story rich,747,1.4899770619327815
point & click,577,1.150892590006981
hand-drawn,260,0.5185997805924005
infiltration,8,0.015956916325920015
thief,11,0.021940759948140022
clicker,385,0.7679265981849007
pong,91,0.1815099232073402
backwards,1,0.001994614540740002
colorful,655,1.3064725241847013
experimental,858,1.7113792759549218
real time strategy,160,0.3191383265184003
chicken,50,0.0997307270370001
dance,25,0.04986536351850005
fight,19,0.03789767627406004
van-damme,2,0.003989229081480004
ccg,4,0.007978458162960007
explosions,104,0.2074399122369602
godot,477,0.9514311359329809
difficult,566,1.128951830058841
jumping,353,0.7040989328812207
rts,14,0.02792460357036003
chess,70,0.13962301785180015
dungeon crawler,389,0.7759050563478608
construct 2,149,0.2971975665702603
gamemaker,900,1.7951530866660017
flight,138,0.27525680662212026
co-op,292,0.5824274458960805
bob,4,0.007978458162960007
genre,1,0.001994614540740002
atari,85,0.16954223596290016
driving,134,0.26727834845916026
gmtk-2018,3,0.005983843622220006
magic,322,0.6422658821182806
boring,24,0.04787074897776005
action-adventure,554,1.105016455569961
hack and slash,117,0.23336990126658022
meaningful choices,180,0.35903061733320035
multiple endings,327,0.6522389548219807
romance,507,1.011269572155181
match-3,22,0.043881519896280044
sci-fi,849,1.6934277450882618
asteroids,101,0.2014560686147402
game boy,575,1.146903360925501
survival horror,233,0.4647451879924205
zero gravity,36,0.07180612346664007
3d platformer,494,0.985339583125561
fantasy,939,1.872943053754862
dwarf,5,0.00997307270370001
second-game-jam,2,0.003989229081480004
fridge,1,0.001994614540740002
sumo,10,0.01994614540740002
wubs,1,0.001994614540740002
wubsgames,2,0.003989229081480004
blind-friendly,1,0.001994614540740002
infinite-runner,367,0.7320235364515807
one-button,343,0.6841527874738207
runner,418,0.8337488780293209
golf,67,0.13363917422958013
isometric,177,0.35304677371098037
first-person,767,1.5298693527475815
science-fictoon,1,0.001994614540740002
train,34,0.06781689438516007
abstract,637,1.2705694624513812
parody,179,0.35703600279246034
puzzle-platformer,920,1.8350453774808018
aliens,395,0.7878727435923008
tetris,82,0.16355839234068018
gmtkjam2018,4,0.007978458162960007
metroidvania,220,0.4388151989628004
swords,80,0.15956916325920015
dodge,31,0.06183305076294006
reflex,16,0.03191383265184003
touch-friendly,101,0.2014560686147402
turn-based,294,0.5864166749775606
turn-based strategy,139,0.2772514211628603
wedge,1,0.001994614540740002
city builder,85,0.16954223596290016
animals,222,0.44280442804428044
drunk,6,0.011967687244440013
controller,226,0.45078288620724044
2018,39,0.07778996708886007
48h,3,0.005983843622220006
drill-boy,1,0.001994614540740002
jam,389,0.7759050563478608
fps-platformer,42,0.08377381071108009
drake,1,0.001994614540740002
kanye,1,0.001994614540740002
meme,30,0.05983843622220006
rap,6,0.011967687244440013
ghosts,273,0.5445297696220206
pacman,16,0.03191383265184003
match-three,3,0.005983843622220006
snake,90,0.17951530866660018
deck building,20,0.03989229081480004
grapplinghook,1,0.001994614540740002
80s,39,0.07778996708886007
synth,8,0.015956916325920015
trippy,8,0.015956916325920015
comedy,510,1.017253415777401
8-bit,1446,2.8842126259100427
space-shooter,16,0.03191383265184003
16-bit,703,1.4022140221402215
superhero,55,0.1097037997407001
non violent,259,0.5166051660516605
escape,27,0.05385459259998005
ludum dare 38,91,0.1815099232073402
mechs,182,0.3630198464146804
simple,148,0.2952029520295203
dark,528,1.053156477510721
top down adventure,207,0.4128852099331804
game-makers-toolkit,16,0.03191383265184003
windows,76,0.15159070509624015
building,16,0.03191383265184003
casual,1477,2.946045676672983
bipolar,1,0.001994614540740002
death,32,0.06382766530368006
deep,1,0.001994614540740002
dual-purpose,2,0.003989229081480004
feels,1,0.001994614540740002
love,122,0.24334297397028024
sacrifice,3,0.005983843622220006
1vs1,5,0.00997307270370001
versus,115,0.22938067218510022
fishing,122,0.24334297397028024
programmable,1,0.001994614540740002
combos,45,0.08975765433330009
gmtk2018,5,0.00997307270370001
sokoban,48,0.0957414979555201
medieval,150,0.2991921811110003
futuristic,170,0.3390844719258003
oculus rift,142,0.28323526478508027
planes,4,0.007978458162960007
scrolling-shooter,1,0.001994614540740002
ships,18,0.03590306173332004
tyrian,1,0.001994614540740002
dead-or-alive,1,0.001994614540740002
gmtk-game-jam,9,0.01795153086666002
reference,1,0.001994614540740002
right-round,1,0.001994614540740002
you-spin-me,1,0.001994614540740002
melee,13,0.025929989029620026
theater,2,0.003989229081480004
couch-co-op,1,0.001994614540740002
early-access,3,0.005983843622220006
local co-op,167,0.33310062830358034
resource-management,16,0.03191383265184003
cute,1152,2.2977959509324823
gmtk2017jam,1,0.001994614540740002
lava,9,0.01795153086666002
recycle,5,0.00997307270370001
robots,398,0.7938565872145208
low-poly,654,1.3044779096439614
no-bullets,1,0.001994614540740002
löve,386,0.7699212127256407
no-fixed-map,1,0.001994614540740002
no-weapons,1,0.001994614540740002
live-action,49,0.0977361124962601
magic-carpet,1,0.001994614540740002
cliker,1,0.001994614540740002
lone-survivor,50,0.0997307270370001
level,1,0.001994614540740002
level editor,48,0.0957414979555201
levitation,1,0.001994614540740002
teleportation,4,0.007978458162960007
one-hit-kill,104,0.2074399122369602
horror,1504,2.999900269272963
surreal,240,0.47870748977760047
what-have-i-done,1,0.001994614540740002
web-technology,1,0.001994614540740002
sandwich,13,0.025929989029620026
procedural generation,791,1.5777401017253416
fire,64,0.12765533060736012
hogs,3,0.005983843622220006
spaceman,1,0.001994614540740002
minigames,340,0.6781689438516006
phaser,35,0.06981150892590007
score attack,146,0.29121372294804027
html5,75,0.14959609055550016
tanks,93,0.1854991522888202
farmers,1,0.001994614540740002
blobby,1,0.001994614540740002
slime,114,0.22738605764436023
heart,16,0.03191383265184003
48-hour,5,0.00997307270370001
exorcist,1,0.001994614540740002
coding,9,0.01795153086666002
exploration,737,1.4700309165253815
supernatural,91,0.1815099232073402
upgrades,116,0.23137528672584023
indie,178,0.3550413882517204
dogs,187,0.3729929191183804
paint,55,0.1097037997407001
blocks,185,0.36900369003690037
browser,45,0.08975765433330009
parkour,41,0.08177919617034009
not-a-game,10,0.01994614540740002
strawberry,5,0.00997307270370001
video-game,2,0.003989229081480004
farming,121,0.24134835942954025
dos,16,0.03191383265184003
dualpurpose,1,0.001994614540740002
jctwood,5,0.00997307270370001
neon,147,0.2932083374887803
twinstick,3,0.005983843622220006
gamemakerstoolkit,7,0.013962301785180015
moba,7,0.013962301785180015
shoo,2,0.003989229081480004
cookie,6,0.011967687244440013
idle,87,0.17353146504438016
incremental,34,0.06781689438516007
gameshow,4,0.007978458162960007
quiz,40,0.07978458162960007
dual-purpose-design,1,0.001994614540740002
hotseat-multiplayer,1,0.001994614540740002
joust,6,0.011967687244440013
airplane,4,0.007978458162960007
bycicle,2,0.003989229081480004
gmtkgamejam,4,0.007978458162960007
game-makers-toolkit-jam,21,0.041886905355540044
artgame,586,1.168844120873641
darkness,19,0.03789767627406004
factory,15,0.02991921811110003
bandits,1,0.001994614540740002
rohde,1,0.001994614540740002
single-player,7,0.013962301785180015
cat,35,0.06981150892590007
food,129,0.25730527575546025
platform-fighter,3,0.005983843622220006
gmtgj,1,0.001994614540740002
i-guess,1,0.001994614540740002
bullet-time,1,0.001994614540740002
western,106,0.2114291413184402
goache,1,0.001994614540740002
go-ache,1,0.001994614540740002
crab,14,0.02792460357036003
fall,9,0.01795153086666002
gnomes,3,0.005983843622220006
android,106,0.2114291413184402
competitive,38,0.07579535254812007
in-development,3,0.005983843622220006
mobile,106,0.2114291413184402
ice,17,0.03390844719258004
slide,3,0.005983843622220006
tractor,4,0.007978458162960007
car,38,0.07579535254812007
rocket,28,0.05584920714072006
happy,8,0.015956916325920015
hug,1,0.001994614540740002
monogame,22,0.043881519896280044
unconventional,3,0.005983843622220006
dank,4,0.007978458162960007
blue,17,0.03390844719258004
contrast,2,0.003989229081480004
red,13,0.025929989029620026
race,30,0.05983843622220006
breakout,84,0.16754762142216018
1gam,65,0.12964994514810013
1-bit,358,0.7140720055849207
dark humor,129,0.25730527575546025
royale,3,0.005983843622220006
third person,181,0.36102523187394037
third-person shooter,52,0.1037199561184801
violent,51,0.1017253415777401
action-shooter,1,0.001994614540740002
quick-action,1,0.001994614540740002
real-time,88,0.17552607958512018
slimes,10,0.01994614540740002
box,8,0.015956916325920015
jazz,9,0.01795153086666002
party-game,167,0.33310062830358034
dating sim,282,0.5624813004886806
spline-shooter,1,0.001994614540740002
sunny,1,0.001994614540740002
shootem-up,1,0.001994614540740002
dice,83,0.16555300688142016
gambling,3,0.005983843622220006
flappy bird,51,0.1017253415777401
soulslike,3,0.005983843622220006
talking,4,0.007978458162960007
remote,1,0.001994614540740002
2dplatformer,2,0.003989229081480004
photorealistic,22,0.043881519896280044
on-rails shooter,36,0.07180612346664007
gamemaker-studio,8,0.015956916325920015
gmtk-gamejam,5,0.00997307270370001
mastery,1,0.001994614540740002
ninja,98,0.1954722249925202
bow-and-arrow,4,0.007978458162960007
deathmatch,43,0.08576842525182009
sprites,108,0.2154183703999202
drag-and-drop,4,0.007978458162960007
sleepwalker,2,0.003989229081480004
godot-engine,69,0.13762840331106013
basket,1,0.001994614540740002
radio,7,0.013962301785180015
shootemup,3,0.005983843622220006
