game_accessibility,game_ave_session,game_desc_len,game_genres,game_inputs,game_language,game_last_update,game_made_with,game_name,game_no_screenshots,game_platforms,game_price,game_publish_date,game_size,game_status,game_tags,game_url
,,1587,Platformer,,,,,Paper Jekyll,1,Windows||macOS,,,38 MB||40 MB,Released,domain||hyde||jam||jekyll||paper||platfomer||public||super,https://dmullinsgames.itch.io/paper-jekyll
,,4142,Strategy,,,,,Cyrano the Hothead,3,Windows||macOS||Linux||Unity,Name your own price,,129 MB||331 MB||23 MB||20 MB||20 MB,Released,,https://noir.itch.io/cyrano
,,587,,,,,,Icarus,1,Flash,,,,,cc0||mythology||public-domain||public-domain-jam,https://emrox.itch.io/icarus
,,1303,Strategy,,,,,March of the Cards,1,Flash,,,,,domain||jam||liquid-war||public||wolve,https://guyungernl.itch.io/march-of-the-cards
,About a half-hour,1304,,Keyboard||Mouse,English,,,The Yellow Wallpaper,1,Windows||macOS||Linux||Unity,Name your own price,,18 MB||28 MB||29 MB||159 MB,Released,Exploration||pdjam||Short,https://ysty.itch.io/the-yellow-wallpaper
,,797,Platformer,,,,Construct,Oliver Twist,1,HTML5,,,,,charles-dickens||oliver-twist||Stealth||thief,https://shortee.itch.io/oliver-twist
,,1273,Platformer,,,,,Me and the Martians,1,Flash,,,,,martians||public-domain-jam||tripods||war-of-the-worlds,https://gear.itch.io/me-and-the-martians
Subtitles,A few minutes,950,Action,Keyboard||Mouse||Xbox controller||Touchscreen,German,,Construct,Rock 'n' Roll Diogenes,3,Windows||macOS||Linux||HTML5,Name your own price,,56 MB||54 MB||59 MB||79 MB,Released,cartoon||diogenes||pdjam||public-domain||Violent||wilhelm-busch,https://ludonaut.itch.io/rock-n-roll-diogenes
,,871,Adventure,,,,,Beauty And The Beast,1,HTML5,,,,,beauty--beast||Fairy Tale||Point & Click,https://adriandan.itch.io/beauty-and-beast
,,907,Puzzle,,,,,Ruach,2,Windows||macOS||Linux,,,24 MB||15 MB||39 MB||16 MB,,Fairy Tale||jam||pdjam||princess||public-domain-jam||ruach,https://yifatshaik.itch.io/ruach
,,1308,Action,,,,,Patience,3,Windows||macOS||Linux,"Name your own price,Name your own price",,19 MB||19 MB||21 MB,Released,color||heart||pdjam||poem||public-domain-jam||single-player,https://lizthrelfo.itch.io/patience
,,1540,Adventure,,,,,Black Spot,1,Flash,Name your own price,,"1,003 kB||3 kB||3 kB||8 kB",,paper||Pirates||public-domain||stevenson,https://six-down-studios.itch.io/black-spot
,,560,Action,,,,,War of The Worlds: Diaries,4,Windows||macOS,"Name your own price,Name your own price",,11 MB||10 MB||101 MB,,kondo||pdj||war-of-the-worlds,https://kondo.itch.io/war-of-the-worlds-diaries
,,1893,Role Playing,,,,,Surfenstein,1,Unity,,,,,frankenstein||public-domain-jam||surfing,https://dinosaursssssss.itch.io/surfenstein
,,623,Action,,,,Construct,"Friar Laurence in ""Romeo Rush!""",1,HTML5,,,,Released,,https://donboody.itch.io/romeo-rush
,,291,,,,,Twine,Scheherazade 3.0,1,HTML5,,,,,arabian-nights||myths||scheherazade||Twine,https://danielleri.itch.io/scheherazade-30
,,1033,,,,,,Of Two Minds,2,Windows||macOS||Linux,,,7 MB||9 MB||8 MB||5 MB,,Game Jam||pdjam||poem||poetry||public-domain,https://gnustoboz.itch.io/of-two-minds
,A few minutes,1396,,Keyboard||Mouse,English,,Construct,Sultannoying Deadlines,1,Windows||macOS||Linux||Android||HTML5,,,23 MB,Released,Game Jam||Parody||pdjam||skill||speed,https://vaidap.itch.io/sultannoying-deadlines
,A few minutes,0,Platformer,Keyboard,English,,,Sleepy Hollow,1,HTML5,,,,,pdjam||public-domain||sleepy-hollow,https://excaliburjs.itch.io/sleepy-hollow
One button,About a half-hour,396,Platformer,Keyboard||Mouse,,,,Umbrella,6,Windows||Linux,"Name your own price,Name your own price",,63 MB||47 MB,Released,2D||artgame||Fantasy||Fast-Paced||Puzzle-Platformer||Singleplayer,https://dinoboxstudios.itch.io/umbrella
,,1238,,,,,,Glacier Hop,1,Windows,"Name your own price,Name your own price",,43 MB,In development,3D||infinite-runner||resource-management||winter,https://shadowndacorner.itch.io/glacier-hop
,,1668,,,,,,By The Balls,1,Android,,,21 MB||21 MB||21 MB,Prototype,2D||Arcade||Casual||Difficult||Endless||one-button,https://intelligent-designers.itch.io/bytheballs
,,2846,Action,,,,,Soul Chain,1,Windows||macOS,,,8 MB,Prototype,chain||Game Jam||game-makers-toolkit||Game Maker's Toolkit Jam||indie||soul,https://nayn64.itch.io/soul-chain
,A few seconds,1050,Action,Mouse||Joystick,English,,,Blasterball (GMTK),6,Windows,"Name your own price,Name your own price",,23 MB,Prototype,,https://petermilko.itch.io/blasterball
