game_inputs,count,percentage
keyboard,5666,11.301485987832852
,42668,85.10621322429441
mouse,3722,7.423955320634287
xbox controller,760,1.5159070509624015
gamepad (any),730,1.4560686147402016
touchscreen,641,1.2785479206143413
smartphone,246,0.4906751770220405
joystick,131,0.2612945048369403
voice control,15,0.02991921811110003
accelerometer,16,0.03191383265184003
playstation controller,126,0.25132143213324026
dance pad,7,0.013962301785180015
google cardboard vr,6,0.011967687244440013
oculus rift,110,0.2194075994814002
htc vive,60,0.11967687244440012
neurosky mindwave,1,0.001994614540740002
osvr (open-source virtual reality),9,0.01795153086666002
leap motion,192,0.3829659918220804
kinect,1,0.001994614540740002
joy-con,6,0.011967687244440013
midi controller,1,0.001994614540740002
wiimote,3,0.005983843622220006
