game_accessibility,game_asset_license,game_ave_session,game_criteria,game_desc_len,game_developers,game_developers_url,game_genres,game_inputs,game_language,game_last_update,game_license,game_made_with,game_name,game_no_ratings,game_no_screenshots,game_platforms,game_price,game_publish_date,game_ranks,game_raw_scores,game_release_date,game_scores,game_size,game_source_code,game_status,game_submission_page,game_tags,game_url,jam_name,jam_url,overall_rank,high_ranking,number_of_developers
,,,Overall||Aestethics / Look & Feel (incl. sound)||Technical Wizardry||Gameplay /  Game Mechanic(s),533.0,Dunbar Games,https://dunbargames.itch.io,Action,,,,,,Xal Trogg's Mighty War Bubble,10.0,1.0,Windows||macOS||Android,Name your own price,,1||1||2||2,3.933||4.700||3.600||3.500,,3.933||4.700||3.600||3.500,Xal Trogg_s Mighty War Bubble.Win32.zip||17 MB||||Windows<>Xal Trogg's Mighty War Bubble.apk||26 MB||||Android<>Xal Trogg's Mighty War Bubble.app.zip||21 MB||||macOS,,Released,https://itch.io/jam/galwaygamejam8/rate/95668,,https://dunbargames.itch.io/xal-throggs-might-war-bubble,Galway Game Jam 8,https://www.itch.io/jam/galwaygamejam8,1,1,1
,,,Gameplay /  Game Mechanic(s)||Technical Wizardry||Aestethics / Look & Feel (incl. sound)||Overall,908.0,AJS Game Dev - Alan Stewart,https://ajsgamedev.itch.io,,,,,,Unity,Magnetic Miner Men - Galway GameJam8,11.0,1.0,Windows||HTML5,Name your own price,,5||5||5||5,3.000||2.636||3.091||2.909,,3.000||2.636||3.091||2.909,MagMinMen.zip||16 MB||||Windows,,Prototype,https://itch.io/jam/galwaygamejam8/rate/95665,,https://ajsgamedev.itch.io/magnetic-miner-men,Galway Game Jam 8,https://www.itch.io/jam/galwaygamejam8,5,0,1
,,A few seconds,Overall||art||technical||audio||fun,342.0,Rzu66,https://richie-byrne.itch.io,Action,,,,,,The Mighty Crack,16.0,2.0,Windows,,,1||1||1||2||3,4.234||4.375||4.063||4.688||3.813,,4.234||4.375||4.063||4.688||3.813,The Mighty Crack.zip||39 MB||||Windows,,Released,https://itch.io/jam/sparksjam-1/rate/87214,,https://richie-byrne.itch.io/the-mighty-crack,SparksJam,https://www.itch.io/jam/sparksjam-1,1,1,1
,,A few seconds,Overall||art||technical||audio||fun,342.0,Rzu66,https://richie-byrne.itch.io,Action,,,,,,The Mighty Crack,16.0,2.0,Windows,,,1||1||1||2||3,4.234||4.375||4.063||4.688||3.813,,4.234||4.375||4.063||4.688||3.813,The Mighty Crack.zip||39 MB||||Windows,,Released,https://itch.io/jam/sparksjam-1/rate/87214,,https://richie-byrne.itch.io/the-mighty-crack,SparksJam,https://www.itch.io/jam/sparksjam-1,1,0,1
,,,Goal: The player has an objective to accomplish to win the game.||Theme: This jam’s theme is:  “Cyberpunk”||Prototype: This game is a functional Minimum Viable Product / Prototype.||Space: The game takes place in a defined space that adds to the interest.||Rules: It is clear what the player must do and cannot do.||Overall,58.0,Mindlife21,https://mindlife21.itch.io,Role Playing,,,,,,Arreptis,14.0,1.0,Windows,,,1||1||1||1||1||1,2.000||5.000||3.000||5.000||2.000||3.400,,2.000||5.000||3.000||5.000||2.000||3.400,Game.exe||44 MB||||Windows,,In development,https://itch.io/jam/spooky-game-jam-2017/rate/186051,,https://mindlife21.itch.io/arreptis,Spooky Game Jam 2017,https://www.itch.io/jam/spooky-game-jam-2017,1,1,1
,,,Goal: The player has an objective to accomplish to win the game.||Theme: This jam’s theme is:  “Cyberpunk”||Prototype: This game is a functional Minimum Viable Product / Prototype.||Space: The game takes place in a defined space that adds to the interest.||Rules: It is clear what the player must do and cannot do.||Overall,58.0,Mindlife21,https://mindlife21.itch.io,Role Playing,,,,,,Arreptis,14.0,1.0,Windows,,,1||1||1||1||1||1,2.000||5.000||3.000||5.000||2.000||3.400,,2.000||5.000||3.000||5.000||2.000||3.400,Game.exe||44 MB||||Windows,,In development,https://itch.io/jam/spooky-game-jam-2017/rate/186051,,https://mindlife21.itch.io/arreptis,Spooky Game Jam 2017,https://www.itch.io/jam/spooky-game-jam-2017,1,0,1
,,,Overall||Sound||Gameplay||Theme||Graphics||Idea,363.0,LudokapiDev,https://ludokapidev.itch.io,Platformer,,,,,,SOS - Piano,11.0,3.0,Windows||macOS,,,1||1||3||4||6||7,3.509||3.909||3.273||3.455||3.364||3.545,,3.509||3.909||3.273||3.455||3.364||3.545,SOS_Piano_PC_1_0.zip||36 MB||||Windows<>SOS_Piano_Mac.zip||37 MB||||macOS,,,https://itch.io/jam/monster-gamejam/rate/14440,ladybird||pianist||piano||sos,https://ludokapidev.itch.io/sos-piano,MONSTER GAMEJAM,https://www.itch.io/jam/monster-gamejam,1,1,1
,,,Gameplay||Graphics||Overall||Sound||Theme||Idea,731.0,rberiot,https://rberiot.itch.io,Platformer,,,,,,Engine Room,10.0,4.0,,,,1||1||2||3||5||9,3.400||4.100||3.340||3.100||3.000||3.100,,3.400||4.100||3.340||3.100||3.000||3.100,engine_room.zip||33 MB||||,,,https://itch.io/jam/monster-gamejam/rate/14424,,https://rberiot.itch.io/engine-room,MONSTER GAMEJAM,https://www.itch.io/jam/monster-gamejam,2,1,1
,,,Sound||Theme||Graphics||Overall||Gameplay||Idea,121.0,jiboom,https://jiboom.itch.io,Puzzle,,,,,,E-bollo,10.0,1.0,,,,4||7||7||9||10||12,2.800||2.900||3.000||2.500||2.000||1.800,,2.800||2.900||3.000||2.500||2.000||1.800,E-BOLLO.zip||42 MB||||,,,https://itch.io/jam/monster-gamejam/rate/14419,,https://jiboom.itch.io/e-bolo,MONSTER GAMEJAM,https://www.itch.io/jam/monster-gamejam,9,0,1
,,,Gameplay||Idea||Graphics||Sound||Theme||Overall,69.0,glendc,https://glendc.itch.io,Puzzle,,,,,,Puzzle FIM,11.0,0.0,HTML5,,,7||10||11||12||12||12,2.909||3.000||1.909||1.000||1.818||2.127,,2.909||3.000||1.909||1.000||1.818||2.127,,,,https://itch.io/jam/monster-gamejam/rate/14434,,https://glendc.itch.io/puzzle-fim,MONSTER GAMEJAM,https://www.itch.io/jam/monster-gamejam,12,0,1
,,A few minutes,Overall,2579.0,DinaJam,https://dinajam.itch.io,Adventure,Mouse||Touchscreen,English||Russian,,Artistic License 2.0,Godot||GIMP||Adobe Photoshop||FL Studio,Me and sir Knight,24.0,3.0,Windows||macOS||Linux||HTML5,Name your own price,,1,4.375,28 April 2019 @ 16:00,4.375,me_and_sir_knight-x64.zip||13 MB||||Windows<>Me And Sir Knight.dmg||17 MB||||macOS<>Me_And_Sir_Knight-x86_64.AppImage||15 MB||||Linux,https://github.com/anhel-strauke/MeAndSirKnight,Released,https://itch.io/jam/sibgamejam-2/rate/412664,2D||Ludum Dare||Ludum Dare 44||Medieval||Mouse only||Pixel Art||Short||Swords,https://dinajam.itch.io/me-and-sir-knight,Siberian Game Jam 2 — Novosibirsk LDJAM #44 Gathering,https://www.itch.io/jam/sibgamejam-2,1,1,1
