jam_desc_len,jam_name,jam_no_illustrations,jam_no_videos,jam_url
3600,Procedural Generation Jam 2016,2,1,https://www.itch.io/jam/procjam2016
7027,The Very First Extra Credits Game Design Jam!,1,1,https://www.itch.io/jam/extra-credits-game-design-jam
1738,GMTK Game Jam 2019,1,2,https://www.itch.io/jam/gmtk-2019
9142,2018 Epic MegaJam,2,0,https://www.itch.io/jam/2018-epic-megajam
3390,Blackthornprod GAME JAM # 1,6,3,https://www.itch.io/jam/blackthornprod-game-jam-1
3677,Blackthornprod GAME JAM #2,7,3,https://www.itch.io/jam/blackthornprodgamejam2
2906,#LOWREZJAM 2016,3,0,https://www.itch.io/jam/lowrezjam2016
1520,Mix and Game Jam (2019),4,1,https://www.itch.io/jam/mix-and-game-jam
4169,Extra Credits Game Jam #4,0,0,https://www.itch.io/jam/extra-credits-game-jam-4
3786,Extra Credits Game Jam #3,0,0,https://www.itch.io/jam/extra-credits-game-jam-3
629,GBJAM 5,0,0,https://www.itch.io/jam/gbjam-5
1262,Indie Game Making Contest 2018,12,1,https://www.itch.io/jam/igmc2018
4064,Brackeys Game Jam #2,7,0,https://www.itch.io/jam/brackeys-2
2052,Game Off 2017,1,0,https://www.itch.io/jam/game-off-2017
6056,Game Maker's Toolkit Jam,0,0,https://www.itch.io/jam/gmtk-jam
3728,Game Maker's Toolkit Jam 2018,0,2,https://www.itch.io/jam/gmtk-2018
1301,Weekly Game Jam - Week 22,1,0,https://www.itch.io/jam/weekly-game-jam-22
1409,Minimalistic Jam 2,0,0,https://www.itch.io/jam/minimalistic-jam-2
1377,Summer Christmas,0,0,https://www.itch.io/jam/summerchristmas
1280,Weekly Game Jam - Week 6,1,0,https://www.itch.io/jam/weekly-game-jam-6
1681,2019 New Years Jam,0,0,https://www.itch.io/jam/2019-new-year
1296,Weekly Game Jam - Week 44,1,0,https://www.itch.io/jam/weekly-game-jam-44
820,Indie Galactic Space Jam 2019,0,0,https://www.itch.io/jam/indie-galactic-space-jam-2019
831,Foxie Jam,0,0,https://www.itch.io/jam/uwu
630,Watch + Jam 2: The Inevitable Sequel!,0,0,https://www.itch.io/jam/watch-and-jam-2
1009,48 Secret Jam - May - 2018,0,0,https://www.itch.io/jam/48-secret-jam-may-2018
783,Odd Weekend Game Jam 19,1,0,https://www.itch.io/jam/odd-weekend-game-jam-19
1265,VR Austin Jam 2017,1,0,https://www.itch.io/jam/vr-austin-jam-2017
3166,Haw Game Jam 4,2,0,https://www.itch.io/jam/haw-game-jam-4
728,48 Secret Jam - December 2017,0,0,https://www.itch.io/jam/48-secret-december-2017
2558,Geta Game Jam #2: Signal Lost,5,0,https://www.itch.io/jam/geta-game-jam-2-signal-lost
915,Trash Game Jam,1,0,https://www.itch.io/jam/trash-game-jam
2533,Shacknews Game Jam,0,0,https://www.itch.io/jam/shacknews-jam
1244,Indie Dev Jam Español #2,0,0,https://www.itch.io/jam/indie-dev-jam-es-2
2367,The First ScoreSpace Game Jam!,0,0,https://www.itch.io/jam/scorejam1
123,Breaking Code Jam,1,1,https://www.itch.io/jam/breaking-code-jam
1778,BLIND JAM (WIN PRIZES!),0,0,https://www.itch.io/jam/blind-jam
