jam_criteria,jam_end_date,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url
,2017-08-05 04:00:00,My First Game Jam: Summer 2017,765,0,127,2017-07-22 04:00:00,https://www.itch.io/jam/my-first-game-jam-summer-2017
Overall||Graphics||Sound||Fun||Polish||Stayed true to the source material||Innovative use of source material||Theme,2014-05-25 18:40:00,The Public Domain Jam,0,893,50,2014-05-16 17:00:00,https://www.itch.io/jam/the-public-domain-jam
,2018-12-18 07:59:59,Extra Credits Holiday 2018 Game Jam,820,0,213,2018-12-13 22:00:00,https://www.itch.io/jam/extra-credits-holiday-2018-game-jam
,2017-03-14 00:30:00,#ResistJam,884,0,199,2017-03-04 01:30:00,https://www.itch.io/jam/resistjam
,2016-11-14 12:00:00,Procedural Generation Jam 2016,917,0,163,2016-11-05 00:00:00,https://www.itch.io/jam/procjam2016
Overall||Innovation||Theme||Aesthetics||Feel,2017-07-17 06:00:00,Game Maker's Toolkit Jam,2857,3702,730,2017-07-14 04:00:00,https://www.itch.io/jam/gmtk-jam
,2018-09-02 21:00:00,Game Maker's Toolkit Jam 2018,3313,15600,1026,2018-08-31 21:00:00,https://www.itch.io/jam/gmtk-2018
Overall||Gameplay||Graphics||Audio||Innovation||Theme interpretation,2018-12-01 21:37:00,Game Off 2018,4128,2956,322,2018-11-01 20:37:00,https://www.itch.io/jam/game-off-2018
Overall||Game Design||Fun||Innovation||Theme||Graphics||Audio,2019-08-31 19:00:00,Community Game Jam,6799,15900,1045,2019-08-24 19:00:00,https://www.itch.io/jam/cgj
Overall||Design||Adherence to the Theme||Originality,2019-08-04 21:00:00,GMTK Game Jam 2019,7591,46600,2622,2019-08-02 19:00:00,https://www.itch.io/jam/gmtk-2019
Overall||THEME||VISUALS||AUDIO||POLISH||FUN FACTOR,2019-07-08 06:00:00,★ JUNE/JULY JACKPOT JAM ★ WIN $$$,721,779,60,2019-06-22 05:00:00,https://www.itch.io/jam/junejulyjackpotjam
Overall||Use of theme||Composition||Fun,2019-05-08 03:59:59,2019 Spring #ue4jam: Marketplace Takeover,750,0,183,2019-05-02 19:00:00,https://www.itch.io/jam/2019-spring-ue4jam-marketplace-takeover
Overall||Graphics||Audio||Enjoyment||Authenticity (Use of 64x64 limit),2017-08-16 23:00:00,#LOWREZJAM 2017,756,2642,229,2017-07-31 23:00:00,https://www.itch.io/jam/lowrezjam2017
,2018-05-24 17:00:00,Weekly Game Jam - Week 45,89,0,27,2018-05-18 17:00:00,https://www.itch.io/jam/weekly-game-jam-45
Overall,2019-08-14 03:59:59,2019 Summer #ue4jam,782,0,223,2019-08-08 18:00:00,https://www.itch.io/jam/2019-summer-ue4jam
Overall||Fun||Visual Aesthetics||Use of Theme,2018-05-15 18:00:00,2018 Spring #ue4jam,784,0,167,2018-05-10 19:00:00,https://www.itch.io/jam/2018-spring-ue4jam
,2017-08-08 04:00:00,Yaoi Game Jam 2017,69,0,15,2017-07-01 04:00:00,https://www.itch.io/jam/yaoijam17
Overall,2019-08-27 06:59:59,Extra Credits Game Jam #5,866,0,186,2019-08-23 03:00:00,https://www.itch.io/jam/extra-credits-game-jam-5
Overall||Game Design||Fun||Innovation||Theme||Graphics||Audio,2018-09-01 07:00:00,Brackeys Game Jam,872,1445,166,2018-08-25 07:00:00,https://www.itch.io/jam/brackeys
,2017-04-24 19:00:00,QaziJam 9.5,59,0,19,2017-04-17 19:00:00,https://www.itch.io/jam/qazijam9point5
,2019-09-02 07:00:00,The Indie Game Reading Club Presents: #OnRampJam,46,0,20,2019-08-19 07:00:00,https://www.itch.io/jam/onrampjam-igrc
,2019-09-01 00:00:00,libGDX Jam August 2019 - Theme: One Room,42,0,10,2019-08-25 00:00:00,https://www.itch.io/jam/libgdx-jam-august-2019
,2018-02-22 17:00:00,Weekly Game Jam - Week 32,40,0,10,2018-02-16 17:00:00,https://www.itch.io/jam/weekly-game-jam-32
