jam_criteria,jam_end_date,jam_host,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,jam_duration
Is it playable?||Is it fun?||Would you recommend this game to your friends?,2019-02-09 21:30:00,rocknightstudios,Trijam #6 Do you dare to try?,19,77,10,2019-02-09 18:00:00,https://www.itch.io/jam/trijam-6,y,3.5
Overall||Gameplay||Theme||Originality||Polish,2017-12-16 02:29:59,AIE Seattle,Battle for Train Jam 2017,11,0,10,2017-12-15 17:00:00,https://www.itch.io/jam/bftj2017,y,9.499722222222223
Overall||Gameplay /  Game Mechanic(s)||Aestethics / Look & Feel (incl. sound)||Technical Wizardry,2016-11-05 21:00:00,Galway Game Jam||Darren K,Galway Game Jam 8,16,82,10,2016-11-05 09:00:00,https://www.itch.io/jam/galwaygamejam8,y,12.0
Overall||General||Art||Sound||Bug-Free,2016-11-20 03:00:00,RttStudio,12 Hour Jam,32,70,10,2016-11-19 15:00:00,https://www.itch.io/jam/12-hour-jam,y,12.0
Overall||Gameplay / Mechanics||Theme-ness (application/use of theme)||Art / Visuals||Music / Sound||Writing / Story,2016-08-27 20:19:00,Galway Game Jam||Darren K,Galway Game Jam 7,20,68,11,2016-08-27 08:00:00,https://www.itch.io/jam/galwaygamejam7,y,12.316666666666666
Overall||fun||art||technical||audio,2016-09-24 21:00:00,Shane O'Brien||playtolose||EllieLawson||Patchthesock||ClareByrne||AllSaveOne,SparksJam,52,91,13,2016-09-24 08:00:00,https://www.itch.io/jam/sparksjam-1,y,13.0
Overall||Theme||Graphics||Controls||Creativity||Audio,2019-03-17 04:00:00,steampunkprogrammer,Steamy GameJam,67,0,12,2019-03-16 15:00:00,https://www.itch.io/jam/steampunkprogrammer-jam,y,13.0
Public choice,2018-10-07 20:50:00,Jam Nation,2.01 - JamNATION + iThrive Games,18,7,13,2018-10-07 04:00:00,https://www.itch.io/jam/201-jamnation-ithrive-games,y,16.833333333333332
Best game,2018-03-03 14:00:00,vyznawca,TK Game Jam 2018,74,28,48,2018-03-02 17:00:00,https://www.itch.io/jam/tk-game-jam-2018,y,21.0
Overall,2019-02-23 17:00:00,vyznawca,TK Game Jam 2019,65,0,52,2019-02-22 20:00:00,https://www.itch.io/jam/tk-game-jam-2019,y,21.0
Overall||Goal: The player has an objective to accomplish to win the game.||Rules: It is clear what the player must do and cannot do.||Space: The game takes place in a defined space that adds to the interest.||Theme: This jam’s theme is:  “Cyberpunk”||Prototype: This game is a functional Minimum Viable Product / Prototype.,2017-10-21 23:55:00,Voxel Collective||aradhalia||kylahi||Corey King||fiscalhalo336,Spooky Game Jam 2017,26,167,10,2017-10-21 00:00:00,https://www.itch.io/jam/spooky-game-jam-2017,y,23.916666666666668
Overall,2017-04-09 02:00:00,OneratGames,Jamingtons,45,0,12,2017-04-08 02:00:00,https://www.itch.io/jam/jamingtons,y,24.0
Overall||Idea||Graphics||Gameplay||Theme||Sound,2014-11-23 16:00:00,andreadst,MONSTER GAMEJAM,11,124,10,2014-11-22 08:00:00,https://www.itch.io/jam/monster-gamejam,y,32.0
Overall||Queerness||Feels||Giggles||Inappropriate? Unplayable?,2016-10-17 07:00:00,Zoyander Street,One Day Jam,58,54,16,2016-10-15 23:00:00,https://www.itch.io/jam/one-day-jam,y,32.0
Overall,2019-04-28 16:02:04,Andrey Viktorov||Felegz,Siberian Game Jam 2 — Novosibirsk LDJAM #44 Gathering,32,245,16,2019-04-27 07:00:00,https://www.itch.io/jam/sibgamejam-2,y,33.034444444444446
Overall||Best Game||Best Game Mechanics||Best Sound||Best Aestethics||Voyager - Most far out,2015-08-09 10:00:00,indiejam,Indie jam 2015 Summer jam,15,0,12,2015-08-07 22:00:00,https://www.itch.io/jam/summerjam,y,36.0
Overall||真Kuso / Very Kuso||這遊戲一點也不糞 / Fun||前方高能 / Not Safe For Work,2017-06-18 14:00:00,tppr2046||PLAYBILLY,Kuso Game Jam 2017,42,143,32,2017-06-17 02:00:00,https://www.itch.io/jam/kuso-game-jam-2017,y,36.0
Overall||Game Play||Music||Graphics||Theme,2018-03-11 22:59:59,T-Team,40 Hours Game Jam,118,321,33,2018-03-10 07:00:00,https://www.itch.io/jam/games-factory-1,y,39.999722222222225
Overall||Interpretation of Theme||Gameplay / Mechanics||Learning Curve / Clarity of Rules||Art (and Sound)||Cohesion,2019-02-03 18:15:00,spacesharkstudios||Virtuous Games,CoMo Game Jam V,13,0,10,2019-02-02 02:00:00,https://www.itch.io/jam/como-game-jam-v,y,40.25
Overall||The most Helpful Team||The most Fun Game||The most BIFFF Thematic,2019-03-17 12:00:00,handscandance,BlendingJam19,18,123,12,2019-03-15 19:00:00,https://www.itch.io/jam/blendingjam19,y,41.0
Interpretation of Theme||Gameplay / Mechanics||Learning Curve / Clarity of Rules||Art (and Sound)||Cohesion,2018-10-21 17:00:00,spacesharkstudios||brianfitzgerald||Virtuous Games,CoMo Game Jam IV - Swipe!,15,0,10,2018-10-19 23:00:00,https://www.itch.io/jam/como-game-jam-iv,y,42.0
Goodness,2017-06-11 10:15:00,grapefrukt||Erik Svedäng,No More Sweden 2017,32,269,25,2017-06-09 13:00:00,https://www.itch.io/jam/no-more-sweden-2017,y,45.25
Overall||game design||art||sound||implementation||tabletop,2016-04-03 20:00:00,Athens GGDA||HumanBean,2016 Athens Game Jam,21,226,12,2016-04-01 22:00:00,https://www.itch.io/jam/2016-athens-game-jam,y,46.0
Overall||Play experience||Innovation||Visuals||Sound||Theme association,2015-05-24 14:00:00,Jaffar Salih||Samanta Miszkiel||evnh,Arabic Game Jam 2015,10,1,10,2015-05-22 15:00:00,https://www.itch.io/jam/agj2015,y,47.0
Overall||Visuals||Gameplay||Creativity||Overall,2018-03-12 01:00:00,81monkeys,100 Lines of Code GameMaker Jam,99,211,32,2018-03-10 02:00:00,https://www.itch.io/jam/100-lines-of-code-gamemaker-game-jam,y,47.0
Overall||Theme||Mechanics||Atmosphere||Sound / Music,2019-03-10 23:00:00,TimRuswick,Timdred Jam - COMMUNITIES UNITE!,149,514,49,2019-03-09 00:00:00,https://www.itch.io/jam/timdred-jam,y,47.0
Overall,2018-12-02 14:00:00,Sygan,PGG JAM: All Play - Accessibility Vol 3,21,0,18,2018-11-30 15:00:00,https://www.itch.io/jam/pgg-jam-all-play-accessibility-vol-3,y,47.0
