criteria,count,jam_english
wie gut wurde das thema umgesetzt?,1,n
wie viel spaß macht dir das spiel?,1,n
wie gefällt dir die optik des spiels?,1,n
wie gefällt dir der sound und die musik des spiels?,1,n
crazyness - grad,1,n
tema,15,n
gráficos,14,n
jugabilidad,12,n
originalidad,11,n
design visuel,1,n
divertido,1,n
funcional,1,n
artístico,1,n
científico,1,n
arte,16,n
penetración en redes sociales,2,n
uso de diversificadores.,1,n
som,6,n
apresentação,5,n
documentação,4,n
czy jest na temat?,2,n
grafika,2,n
muzyka,2,n
kreatywność,2,n
originalité,5,n
qualité graphique,1,n
respect du thème,37,n
uso de diversificadores,1,n
diversión,8,n
"afinidad al tema (""bizarro"")",1,n
sonido,2,n
controles,2,n
marte (graficos),2,n
defeitos sonoros (som em geral),2,n
gemaplya (gameplay),2,n
criar atividade (criatividade),2,n
zuera,1,n
zuera (preciso explicar? xd),1,n
graphisme,10,n
ressenti global,3,n
الإبداع,1,n
الإتقان,1,n
المتعة,1,n
inovação,3,n
diversão,7,n
áudio,5,n
соответствие стилю,1,n
звук,2,n
геймплей,2,n
графика,3,n
innovacion - ¿es un juego innovador?,1,n
diversion - ¿es divertido? ¿las horas pasan sin darme cuenta?,1,n
tema - ¿se relaciona con conservación del agua?,1,n
"gráficas - ¿son bonitas, interesantes, relacionadas al tema?",1,n
audio - ¿tiene efectos por cada acción? ¿la música ayuda a la immersión?,1,n
humor - ¿es gracioso?,1,n
"mood - narrativa, emoción y ambiente que experimenta mientras juega..",1,n
"overall - opinión general del juego, en cada aspecto importante para ti.",1,n
música,4,n
inovación,1,n
visuales,3,n
fidelidade,1,n
jogabilidade,2,n
musica,3,n
glitchiness,1,n
originalidad: entre más épico sea la propuesta califiquen más alto.,1,n
hollywood: ¿es un momento de cine o de rol? rol califiquen más alto.,1,n
"trilogía: ¿es tan épico que da para varias historias? entre más, más alto.",1,n
"videogame: ¿realmente se presta para interactuar, o solo es apariencia?",1,n
"altaleticia: ¿es rol o va más allá? si, califiquen 5. podría ser, 4. no, 1.",1,n
geral,7,n
visuais,1,n
sonorização,1,n
criatividade,5,n
mecânica,2,n
sons,3,n
trilha sonora / efeitos sonoros,1,n
mecânicas,1,n
innovacion,1,n
mecanicas,2,n
calidad,2,n
musica y fx,1,n
grafica,1,n
el ranger y el paladín,1,n
logan,1,n
el apuesto anakin más jedis,1,n
estaríamos mejor con eviscerator,1,n
русский язык,1,n
creatividad,3,n
completitud,1,n
detalles,1,n
jogabilidade e velocidade / playability and velocity,1,n
diversão  / fun,1,n
gráficos e sons / graphics and sounds,1,n
fator replay / replay factor,1,n
narrativa / history,1,n
uso do tema,1,n
estilo visual,2,n
ui - interface de usuário,1,n
sfx - efeitos sonoros,1,n
bgm - música de fundo,1,n
innovación,2,n
gráficas,1,n
"[mood] - historia, emoción, buena/mala onda",1,n
en general,1,n
es jugable,1,n
apoyo a otros proyectos del jam,1,n
graphismes,4,n
musique/sons,1,n
ambience générale,1,n
criatividade e jogabilidade,1,n
pertinência,1,n
qualidade,1,n
interpretación de la temática,1,n
ambientación,1,n
jugabilidad y diversión,1,n
ejecución,1,n
general (opinión general del juego desde todos los aspectos),1,n
tema (que tan bien se implementó el tema),1,n
"diversión (que tan divertido es jugarlo, que tan fácil es jugarlo)",1,n
arte (la estética y que tan bien se ve el juego),1,n
audio (que tan bueno es el audio respecto al ambiente del juego),1,n
innovación (algo diferente muy notable),1,n
gesamtwertung,3,n
spielspaß,1,n
umsetzung des themas,3,n
grafik,6,n
atmosphäre,3,n
respect de la fonction,1,n
compléxité de la fonction,1,n
originalidad: entre menos se parezca a cualquier viaje conocido mejor.,1,n
12 trabajos: ¿es un viaje para un hombre o para una partida de d&d?,1,n
jaffar: ¿tan complicado que los villanos requieren contratar héroes?,1,n
"mordor: ¿el viaje es ""imposible""?",1,n
leyenda: ¿este viaje te vale un estatus de leyenda?,1,n
criatividade com o tema,1,n
criatividade(creativety),1,n
game play/diversão(fun),1,n
"musica(""music"")",1,n
"efeito de som(""sound fx"")",1,n
melhor interpretação do tema(best interpretation of the theme),1,n
surpresa,1,n
relaxamento,1,n
loucura,1,n
domi-liche: ¿es un villano para una película o para una partida de d&d?,1,n
villanía: ¿es capa de más grandes fechorías?,1,n
malefica: ¿su maldad es tanta que va más allá de lo que hace?,1,n
zimm: ¿el uso de unos aventureros es necesario o solo estupidez?,1,n
hur roligt var spelet?,1,n
hur roligt var skämtet?,1,n
minimalistiskt?,1,n
história,1,n
el juego es divertido,1,n
el juego es bonito,1,n
el juego tiene unas mecánicas muy bien trabajadas,1,n
el juego es original,1,n
general (tu opinión del juego considerando todo),1,n
"tema (¿qué tanto tiene que ver con el tema ""abstracto""?)",1,n
innovation – die unerwartete einzigartige idee.,1,n
fun – hattest du spaß beim spielen?,1,n
theme – wie gut passt das spiel zum thema? war es kreativ?,1,n
graphics – wie hat dir die optik gefallen?.,1,n
audio – wie gut waren sounds und musik?,1,n
mood – wie war die atmosphäre?,1,n
stability - gab es bugs oder probleme?,1,n
overall – wie war dein gesamteindruck?,1,n
trilha sonora,1,n
polimento,4,n
соблюдение pixel art,1,n
дизайн,1,n
инновационность,1,n
фан,1,n
в тему,1,n
аудио,1,n
юмор,1,n
настроение,1,n
в целом,1,n
innovation - inovação,1,n
fun - diversão,1,n
theme - tema,1,n
graphics - gráficos,1,n
audio - áudio,1,n
humor - comédia,1,n
"mood - ambientação, atmosfera",1,n
in tema - quanto è spaghetti western il gioco?,1,n
arte - quanto è impressionante il gioco a livello artistico?,1,n
tecnica - il gioco presenta soluzioni tecniche ben realizzate?,1,n
"originalità - il gioco fa qualcosa di nuovo, o interpreta il vecchio west in maniera inaspettata?",1,n
beleza,1,n
adequação ao tema,4,n
diseño,1,n
lara croft ¿es un tesoro para un museo o para una partida de d&d?,1,n
villanía ¿es un tesoro digno de las más grandes fechorías?,1,n
rico mcpato: ¿como lo valuarías en dinero?,1,n
hamas: ¿cambiarías todo lo que tienes por este tesoro?,1,n
jouabilité,5,n
intégration des mots,1,n
roligt,2,n
konstnärligt,1,n
plaisir de jeu,2,n
musique / sons,2,n
amarelo,1,n
sentimentalismo,1,n
nunca mais vou dormir,1,n
viciante,1,n
mecanica,1,n
fácil de jogar,1,n
eu pagaria 5 reais,1,n
bonite,1,n
cenarios,1,n
vai com douglas,1,n
100% jesus,1,n
vai brasil-il-il,1,n
estética,2,n
best la petite mort,1,n
best le grand guignol,1,n
genel,1,n
eğlence,1,n
i̇novasyon,1,n
