jam_criteria,jam_end_date,jam_host,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english
,2016-11-14 12:00:00,Cut Garnet Games,Procedural Generation Jam 2016,917,0,163,2016-11-05 00:00:00,https://www.itch.io/jam/procjam2016,u
,2018-08-20 05:00:00,Extra Credits,The Very First Extra Credits Game Design Jam!,1159,0,320,2018-08-17 03:00:00,https://www.itch.io/jam/extra-credits-game-design-jam,u
Overall||Design||Adherence to the Theme||Originality,2019-08-04 21:00:00,Game Maker's Toolkit,GMTK Game Jam 2019,7591,46600,2620,2019-08-02 19:00:00,https://www.itch.io/jam/gmtk-2019,y
Overall||Use of Theme||Visual Fidelity||Fun,2018-11-15 19:00:00,unrealengine,2018 Epic MegaJam,1011,0,200,2018-11-08 20:00:00,https://www.itch.io/jam/2018-epic-megajam,y
OVERALL||THEME||VISUALS||INNOVATION||THE EXPERIENCE||SOUNDS AND MUSIC,2018-10-20 10:00:00,Blackthornprod Games,Blackthornprod GAME JAM # 1,1045,9002,237,2018-10-13 10:00:00,https://www.itch.io/jam/blackthornprod-game-jam-1,y
Overall||Theme||Visuals||Innovation||The Experience||Sounds and Music,2019-03-02 16:30:00,Blackthornprod Games,Blackthornprod GAME JAM #2,1072,1626,266,2019-02-23 11:00:00,https://www.itch.io/jam/blackthornprodgamejam2,y
Overall||Aesthetic (sound and visual)||Game Feel (playability and control)||64x64 Authenticity (was it truly lowrez?)||Overall Enjoyment,2016-04-18 07:00:00,Home For Black Sheep,#LOWREZJAM 2016,1112,3711,367,2016-04-01 07:00:00,https://www.itch.io/jam/lowrezjam2016,y
Creative use of theme||Art||Sound,2019-10-13 21:59:59,Mix and Jam,Mix and Game Jam (2019),1124,2191,192,2019-10-11 21:00:00,https://www.itch.io/jam/mix-and-game-jam,y
Overall,2019-06-04 02:00:00,Extra Credits,Extra Credits Game Jam #4,1185,0,299,2019-05-30 22:00:00,https://www.itch.io/jam/extra-credits-game-jam-4,y
Overall,2019-03-04 23:00:00,Extra Credits,Extra Credits Game Jam #3,1245,0,269,2019-02-28 20:00:00,https://www.itch.io/jam/extra-credits-game-jam-3,y
Overall||Gameboy Feel||Graphics||Sound||Overall Gameplay,2016-10-10 05:00:00,retroshark,GBJAM 5,1472,3694,385,2016-10-01 05:00:00,https://www.itch.io/jam/gbjam-5,y
People's Choice Vote||YouTuber's Choice||Degica's Choice,2018-11-30 07:59:59,ndufer||JakeDegica24||NicoB||Stoic||Degigun||Archeia||Nick_Degica||veneziowl,Indie Game Making Contest 2018,1514,4447,300,2018-10-29 07:00:00,https://www.itch.io/jam/igmc2018,y
Overall||Game Design||Fun||Innovation||Theme||Graphics||Audio,2019-02-23 08:00:00,CodeMyst,Brackeys Game Jam #2,1795,3804,323,2019-02-16 08:00:00,https://www.itch.io/jam/brackeys-2,y
Overall||Gameplay||Graphics||Audio||Innovation||Theme interpretation,2017-12-01 21:37:00,GitHub||Lee Reilly,Game Off 2017,2649,2333,197,2017-11-01 20:37:00,https://www.itch.io/jam/game-off-2017,y
Overall||Innovation||Theme||Aesthetics||Feel,2017-07-17 06:00:00,metc||Game Maker's Toolkit,Game Maker's Toolkit Jam,2857,3702,729,2017-07-14 04:00:00,https://www.itch.io/jam/gmtk-jam,y
Design,2018-09-02 21:00:00,Game Maker's Toolkit,Game Maker's Toolkit Jam 2018,3313,15600,1025,2018-08-31 21:00:00,https://www.itch.io/jam/gmtk-2018,y
Overall||How minimalistic was the art and/or music?||How would you rate the games mechanics?,2018-01-02 06:00:00,Water Flare,Minimalistic Jam 2,284,354,57,2017-12-23 06:00:00,https://www.itch.io/jam/minimalistic-jam-2,y
,2017-12-14 16:59:59,Weekly Game Jam||PouleyKetchoup||Nekomatata,Weekly Game Jam - Week 22,44,0,8,2017-12-08 16:59:59,https://www.itch.io/jam/weekly-game-jam-22,u
,2018-12-30 13:00:00,barsk,Summer Christmas,41,0,8,2018-11-30 13:00:00,https://www.itch.io/jam/summerchristmas,u
,2017-08-24 16:59:59,PouleyKetchoup||Weekly Game Jam||Nekomatata,Weekly Game Jam - Week 6,39,0,6,2017-08-18 16:59:59,https://www.itch.io/jam/weekly-game-jam-6,u
Overall,2019-01-07 06:15:00,CowCat,2019 New Years Jam,99,0,19,2019-01-01 04:15:00,https://www.itch.io/jam/2019-new-year,y
,2018-05-17 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 44,30,0,9,2018-05-11 17:00:00,https://www.itch.io/jam/weekly-game-jam-44,u
,2019-09-29 22:00:00,indienomicon,Indie Galactic Space Jam 2019,30,0,18,2019-09-27 21:00:00,https://www.itch.io/jam/indie-galactic-space-jam-2019,u
,2019-06-15 04:00:00,computer_fox,Foxie Jam,28,0,7,2019-05-25 04:00:00,https://www.itch.io/jam/uwu,u
,2019-07-14 23:00:00,Phillammon,Watch + Jam 2: The Inevitable Sequel!,25,0,9,2019-06-29 23:00:00,https://www.itch.io/jam/watch-and-jam-2,u
Overall||Matches Theme||Enjoyment||Game Mechanics||Art||Music,2018-05-20 21:59:59,Haploid7,48 Secret Jam - May - 2018,51,87,11,2018-05-18 21:59:59,https://www.itch.io/jam/48-secret-jam-may-2018,y
