jam_criteria,jam_end_date,jam_host,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,note,Category
,15-04-18 10:30,Nordic Game Jam team!,Nordic Game Jam 2018,101,0,82,13-04-18 18:00,https://www.itch.io/jam/ngj18,y,""" an exciting opportunity to jump in and make games, meet developers and new best friends from many countries, and have a fantastic fun weekend""",To have fun
,18-04-17 19:00,HappyHavok,Pinky Jam 2!,2,0,1,11-04-17 19:00,https://www.itch.io/jam/pinky-jam-2,y,""" Have fun! You don't have to take things too seriously!"" no mention of how to rank",To have fun
,25-07-18 3:59,LouisvilleMakesGames,Kentucky Fried Pixels 2018,10,0,7,22-06-18 4:00,https://www.itch.io/jam/kentucky-fried-pixels-2018,y,""" This isn't a competition and everyone is welcome""",Not competition
,22-07-19 3:59,Takuma Okada,Jumbled Up July 2k19!,46,0,23,03-07-19 17:00,https://www.itch.io/jam/jumbledupjam,y,""" We stand for inclusion, diversity, and community, and seek to foster game design that support those things""",Only one specific requirement
,22-04-19 7:00,yadelah,Transferable Class Skills Jam,42,0,15,01-04-19 7:00,https://www.itch.io/jam/transferable-class-skills,y,""" We stand for inclusion, diversity, and community, and seek to foster game design that support those things""",Only one specific requirement
,27-08-17 14:59,IdrisEffect,JET Summer Vacation Game Jam 2017,7,2,2,13-08-17 15:00,https://www.itch.io/jam/jet-summer-2017,y,"""A game you would use to teach English."" NO mentione of how to rank",Only one specific requirement
,22-02-18 5:00,sketche99,Black History Month Jam,11,0,6,01-02-18 11:00,https://www.itch.io/jam/black-history-month-jam,y,"""aims to highlight the achievements of Black History in video game format.""",Only one specific requirement
,14-02-19 6:00,RomieTears,Fambruary 14th Jam,20,0,2,01-01-19 6:00,https://www.itch.io/jam/fambruary-14th-jam,y,"""For the time being, this jam is currently void of ranking.""",Not competition
,01-06-17 3:59,Levi D. Smith,Pico-8 Jam,1,0,1,29-05-17 4:00,https://www.itch.io/jam/pico-8-jam,y,"""Games will not be rated.""",Not competition
,02-07-18 7:00,GameDevsQuest,GDQ One Mechanic Game Jam 4,152,0,57,29-06-18 7:00,https://www.itch.io/jam/omgjam4,y,"""Is this jam ranked? No, but future jams might be.""",Not competition
