jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,jam_duration,jam_desc_len,jam_name_y,jam_no_illustrations,jam_no_videos,num_hosts
,2019-01-27 15:00:00,cedric-cf,Jam des Volcans,3,0,0,2019-01-25 17:00:00,https://www.itch.io/jam/jam-des-volcans,u,46.0,1203,Jam des Volcans,0,0,1
,2017-02-26 16:59:00,gameimpact||chiknico,Game Jam Impact w/ Y nov Game Jam - Equal opportunities / égalité des chances,4,0,0,2017-02-24 18:00:00,https://www.itch.io/jam/gamejamimpactynov,u,46.983333333333334,706,Game Jam Impact w/ Y nov Game Jam - Equal opportunities / égalité des chances,0,0,2
,2017-10-30 00:00:00,reginald.williams2696||「ＪＡＹ」,Micro Jam,13,0,0,2017-10-27 22:00:00,https://www.itch.io/jam/micro-jam,u,50.0,661,Micro Jam,0,0,2
,2019-04-15 05:59:00,triOS,Weekend Prototype Challenge 04,3,0,0,2019-04-13 02:00:00,https://www.itch.io/jam/weekend-prototype-challenge-04,u,51.983333333333334,350,Weekend Prototype Challenge 04,0,0,1
,2016-07-10 07:29:59,Fanttum,Game Jam Done Quick,2,0,0,2016-07-03 16:00:00,https://www.itch.io/jam/game-jam-done-quick,u,159.49972222222223,2409,Game Jam Done Quick,0,0,1
,2016-09-22 16:00:00,GameAWeek,"Game A Week 5 ""Secret World""",4,0,0,2016-09-15 16:00:00,https://www.itch.io/jam/game-a-week-5,u,168.0,89,"Game A Week 5 ""Secret World""",0,0,1
,2016-11-11 19:03:03,JamSnack,Perspective Jam,5,0,0,2016-11-01 20:03:03,https://www.itch.io/jam/perspective-jam,u,239.0,634,Perspective Jam,0,0,1
,2018-07-09 04:59:59,DEVHR,JAMHR - Todos somos migrantes...,5,0,0,2018-06-29 05:00:00,https://www.itch.io/jam/todos-somos-migrantes,u,239.99972222222223,6141,JAMHR - Todos somos migrantes...,1,0,1
,2019-10-06 15:00:00,Sangjun,I Don't Get It Jam,6,0,0,2019-09-22 15:00:00,https://www.itch.io/jam/i-dont-get-it-jam,u,336.0,3601,I Don't Get It Jam,0,0,1
,2017-12-17 23:00:00,RobinB,🎄🎄🎄 Christmas Tree Jam 🎄🎄🎄,4,0,0,2017-12-01 00:00:00,https://www.itch.io/jam/christmastree,u,407.0,837,🎄🎄🎄 Christmas Tree Jam 🎄🎄🎄,1,0,1
