jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,duration,desc_len,jam_name_y,num_imgs,num_vids,num_hosts,popular
,2018-08-20 05:00:00,Extra Credits,The Very First Extra Credits Game Design Jam!,1159,0,320,2018-08-17 03:00:00,https://www.itch.io/jam/extra-credits-game-design-jam,74.0,7027,The Very First Extra Credits Game Design Jam!,1,1,1,Yes
,2015-04-14 09:00:00,Porpentine,Twiny Jam,225,0,221,2015-03-26 22:26:13,https://www.itch.io/jam/twiny,442.56305555555554,1682,Twiny Jam,0,0,1,Yes
,2018-12-18 07:59:59,Extra Credits,Extra Credits Holiday 2018 Game Jam,820,0,213,2018-12-13 22:00:00,https://www.itch.io/jam/extra-credits-holiday-2018-game-jam,105.99972222222222,4909,Extra Credits Holiday 2018 Game Jam,1,0,1,Yes
,2017-03-14 00:30:00,ResistJam||tylerthedesigner||Vague Collective||Annatarkov,#ResistJam,884,0,199,2017-03-04 01:30:00,https://www.itch.io/jam/resistjam,239.0,3097,#ResistJam,0,0,4,Yes
,2019-07-31 14:00:00,Xavier Ekkel||James Earl Cox III,Fragment Jam,393,0,185,2019-06-01 14:00:00,https://www.itch.io/jam/fragmentjam,1440.0,3866,Fragment Jam,0,1,2,Yes
,2015-11-10 07:59:59,LeapMotion,Leap Motion 3D Jam 2015,183,2016,178,2015-09-28 07:00:00,https://www.itch.io/jam/leapmotion3djam,1032.9997222222223,827,Leap Motion 3D Jam 2015,0,0,1,Yes
,2016-04-10 10:40:00,Nordic Game Jam team!||Anchel,Nordic Game Jam 2016,226,0,176,2016-04-08 08:00:00,https://www.itch.io/jam/ngj16,50.666666666666664,119,Nordic Game Jam 2016,0,0,2,Yes
,2019-02-13 05:59:59,John R. Harness||Takuma Okada,Emotional Mecha Jam,194,0,176,2019-01-28 23:31:34,https://www.itch.io/jam/sad-mecha-game-jam,366.4736111111111,2079,Emotional Mecha Jam,0,0,2,Yes
,2017-11-13 12:59:59,Cut Garnet Games,PROCJAM - The Procedural Generation Jam,691,0,165,2017-11-04 00:00:00,https://www.itch.io/jam/procjam2017,228.99972222222223,3284,PROCJAM - The Procedural Generation Jam,5,0,1,Yes
,2016-11-14 12:00:00,Cut Garnet Games,Procedural Generation Jam 2016,917,0,163,2016-11-05 00:00:00,https://www.itch.io/jam/procjam2016,228.0,3600,Procedural Generation Jam 2016,2,1,1,Yes
