jam_name,jam_url,jam_no_joined,jam_no_submissions
GMTK Game Jam 2019,gmtk-2019,7591,2621
Community Game Jam,cgj,6799,1046
Game Off 2018,game-off-2018,4128,322
Game Maker's Toolkit Jam 2018,gmtk-2018,3313,1026
Game Maker's Toolkit Jam,gmtk-jam,2857,730
Game Off 2017,game-off-2017,2649,197
Brackeys Game Jam #2,brackeys-2,1795,323
Indie Game Making Contest 2018,igmc2018,1514,303
GBJAM 5,gbjam-5,1472,385
Extra Credits Game Jam #3,extra-credits-game-jam-3,1245,271
Extra Credits Game Jam #4,extra-credits-game-jam-4,1185,301
The Very First Extra Credits Game Design Jam!,extra-credits-game-design-jam,1159,321
#LOWREZJAM 2016,lowrezjam2016,1112,367
Blackthornprod GAME JAM #2,blackthornprodgamejam2,1072,266
Blackthornprod GAME JAM # 1,blackthornprod-game-jam-1,1045,238
2018 Epic MegaJam,2018-epic-megajam,1011,200
Procedural Generation Jam 2016,procjam2016,917,163
#ResistJam,resistjam,884,199
Brackeys Game Jam,brackeys,872,166
Extra Credits Game Jam #5,extra-credits-game-jam-5,866,186
Extra Credits Holiday 2018 Game Jam,extra-credits-holiday-2018-game-jam,820,213
2018 Spring #ue4jam,2018-spring-ue4jam,784,167
2019 Summer #ue4jam,2019-summer-ue4jam,782,223
My First Game Jam: Summer 2017,my-first-game-jam-summer-2017,765,127
#LOWREZJAM 2017,lowrezjam2017,756,229
2019 Spring #ue4jam: Marketplace Takeover,2019-spring-ue4jam-marketplace-takeover,750,183
★ JUNE/JULY JACKPOT JAM ★ WIN $$$,junejulyjackpotjam,721,60
A Game By Its Cover 2017,a-game-by-its-cover-2017,718,121
The HEART JAM,heartjam,693,143
PROCJAM - The Procedural Generation Jam,procjam2017,691,165
1-Bit Clicker jam,1-bit-clicker-jam,688,139
Indie Game Maker Contest 2017,igmc2017,680,217
LOWREZJAM 2019,lowrezjam-2019,623,178
Let's Create Game Jam #1,lets-create-game-jam-1,611,71
Kenney Jam 2019,kenney-jam-2019,592,123
My First Game Jam: Winter 2017,my-first-game-jam-winter-2017,586,74
A Game By Its Cover 2016,a-game-by-its-cover-2016,585,115
My First Game Jam: Summer Edition,my-first-game-jam-summer-2016,585,91
PROCJAM - The Procedural Generation Jam,procjam2018,559,144
2018 Summer #ue4jam,2018-summer-ue4jam,547,143
My First Game Jam: Summer 2018,my-first-game-jam-summer-2018,543,110
Finally Finish Something 2018,finally-finish-something-2018,538,108
#LOWREZJAM 2018,lowrezjam-2018,531,167
7DRL Challenge 2019,7drl-challenge-2019,526,143
Music Game Jam 2018,musicgamejam2018,511,96
TV Game Jam,tvgamejam,506,89
My First Game Jam,my-first-game-jam,503,87
Movie Game Jam,moviegamejam,500,111
Finally Finish Something 2019,finally-finish-something-2019,493,120
Meta Game Jam,metagamejam,488,110
7DRL Challenge 2018,7drl-challenge-2018,487,144
Weirder Stuff,weirderstuff,483,34
A Game By Its Cover 2018,a-game-by-its-cover-2018,477,110
2019 Winter #ue4jam,2019-winter-ue4jam,475,124
Demake JAM,demake-jam,472,68
Kenney Jam 2017,kenney-jam-2017,468,81
My First Game Jam: Winter 2018,my-first-game-jam-winter-2018,460,87
My First Game Jam: Summer 2019,my-first-game-jam-summer-2019,454,82
CGA JAM,cga-jam,453,112
One Button Jam,one-button-to-rule-all-jam,451,150
I Can't Draw But Want To Make A Game,icantdraw,441,78
NaNoRenO 2017,nanoreno-2017,439,68
GBJAM 7,gbjam-7,426,114
Butterscotch ShenaniJam 2019,bscotch2019,403,110
Fragment Jam,fragmentjam,393,185
"POT-AU-JEU, a Game Jam by At0mium",pot-au-jeu,393,161
Butterscotch ShenaniJam 2018,bscotch2018,392,117
Butterscotch ShenaniJam,bscotch100,388,126
Game Zanga 8,gamezanga8,381,100
Don't Make a Game,dont-make-a-game,380,38
Game Zanga 9,gamezanga9,371,81
JimJam #2,jimjam-2,369,134
POT-AU-JEU 2.0 - a Game Jam by At0mium,pot-au-jeu-2,364,143
PROCJAM - The Procedural Generation Jam,procjamsummer2018,359,80
Godot Community Game Jam - June 2018,godotjam062018,358,107
7dfps 2018,7dfps-2018,343,78
Strawberry Jam,strawberry-jam,342,42
xkcd Game Jam,xkcdgamejam,342,88
Cyberpunk Jam 2019,cyberpunk-jam-2019,340,60
Mirror Game Jam,mirrorgamejam,338,48
RPG Maker Jam #3,rpgmakerjam3,336,77
NaNoRenO 2019,nanoreno-2019,330,91
Yuri Game Jam 2017,yuri-game-jam-2017,325,64
★ TyranoBuilder Spring Game Jam 2017! ★,tyranojam17,320,43
#RemakeJam,remakejam,315,49
OLC CODEJAM 2019,olc-codejam-2019,314,65
Let's Create Game Jam #2,lets-create-game-jam-2,313,51
GBJAM 6,gbjam-6,313,93
Music Game Jam,musicgamejam,311,56
Epistle 3 Jam,epistle-3-jam,309,30
JamCraft 3,jamcraft3,308,45
GameDevNetwork: Dragon Jam,game-dev-network-dragon-jam,302,55
Strawberry Jam 2,strawberry-jam-2,302,55
My First Game Jam: Winter 2019,my-first-game-jam-winter-2019,298,52
Halloween Jam 2016,halloween-jam-2016,297,53
A Game By Its Cover 2019,a-game-by-its-cover-2019,295,68
✨ Self-Care Jam 2 ✨,self-care-jam-2,295,50
Minimalistic Jam 2,minimalistic-jam-2,284,57
Finally Finish Something,finally-finish-something,281,52
bit jam,bit-jam,280,89
Kenney Jam 2018,kenney-jam-2018,280,65
Open Jam,open-jam-1,280,43
PodQuestJam 2019!,podquestjam2019,279,44
Virtus Winter Game Jam 2018,virtus-winter-jam,269,27
Rainbow Jam 2017,rainbowjam17,264,42
COFFEE JAM,coffee-jam,263,81
The Micro-RPG Jam,micro-rpg-jam,258,89
inkJam 2018,inkjam,255,55
Open Jam 2018,open-jam-2018,252,45
Yuri Game Jam 2018,yuri-game-jam-2018,251,55
GAMES MADE QUICK??? 1½,games-made-quick-one-and-a-half,250,63
Folklore Jam,folklorejam,248,76
Chess Jam,chess-jam,246,47
Cyberpunk Jam,cyberpunk-jam,246,231
Mini Jam 24: Space,mini-jam-24-space,245,59
libGDX Jam - Powered by RoboVM & Robotality,libgdxjam,243,81
8 Bits to Infinity ~ Two Button Jam,2buttonjam,241,66
Weekly Game Jam - Week 100,weekly-game-jam-100,239,69
Minimalistic Jam 3,minimalistic-jam-3,239,66
Game Zanga 7,gamezanga7,239,79
GameDevNetwork:  The Big Festive Game Jam - Theme: Surprise!,gamedevnetwork-the-big-festive-game-jam,237,30
Procedural Generation Jam 2015,procjam2015,237,97
NaNoRenO 2018,nanoreno-2018,235,72
CoronaDefoldJam,coronadefoldjam,233,39
PIZZA JAM (pizza prize),james-jam-pizzza-prize,232,59
Slow Game Jam,slow-game-jam,231,38
Fishing Jam 2,fishing-jam-2,231,39
Pamphlet Dungeon Jam,pamphletjam,228,72
The Pippin Barr 'GAME IDEA' Game Jam,the-pippin-barr-game-idea-game-jam,226,53
GamesPlusJam 2,gamesplusjam2,226,58
No Shit Sherlock Jam,no-shit-sherlock-jam,226,25
Nordic Game Jam 2016,ngj16,226,176
Twiny Jam,twiny,225,221
Rainbow Jam 2018,rainbowjam18,225,30
Games Plus Jam,gamesplusjam,224,73
Weekly Game Jam - Week 113,weekly-game-jam-113,223,52
Self-Care Jam,self-care-jam,222,35
"""Unnecessary Sequels"" - Awful Summer Jam 2018",awful-summer-jam-2018,221,60
2-Buttons Jam 2018,2-buttons-jam-2018,220,47
GameDevNetwork: Cherry Jam,game-dev-network-cherry-jam,217,42
LÖVE Jam,love2d-jam,217,32
Anti-fascist Game Jam - Game Jam Antifasciste - Game Jam Antifascista,antifa-game-jam,214,41
Lewd jam 2016,lewd-jam-2016,210,23
Metroidvania Month 5,metroidvania-month-5,208,22
JimJam: All Games Played Live On Stream,jimjam,207,98
Take Arms! Jam 2017,take-arms-jam,206,12
GDA JAM,gda-jam,206,35
DevSquad Summer Jam,devsquad-summer-jam,201,16
Tutorial Jam,tutorial-jam,201,30
Mini Jam 23: Time,mini-jam-23-time,200,56
2 Colors Game Jam,2-colors-game-jam,200,71
