jam_criteria,jam_end_date,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url
Overall||Graphics||Sound||Fun||Polish||Stayed true to the source material||Innovative use of source material||Theme,2014-05-25 18:40:00,The Public Domain Jam,0,893.0,50,2014-05-16 17:00:00,https://www.itch.io/jam/the-public-domain-jam
Overall||Innovation||Theme||Aesthetics||Feel,2017-07-17 06:00:00,Game Maker's Toolkit Jam,2857,3702.0,730,2017-07-14 04:00:00,https://www.itch.io/jam/gmtk-jam
Overall||Gameplay||Graphics||Audio||Innovation||Theme interpretation,2018-12-01 21:37:00,Game Off 2018,4128,2956.0,322,2018-11-01 20:37:00,https://www.itch.io/jam/game-off-2018
Overall||Game Design||Fun||Innovation||Theme||Graphics||Audio,2019-08-31 19:00:00,Community Game Jam,6799,15900.0,1045,2019-08-24 19:00:00,https://www.itch.io/jam/cgj
Overall||Design||Adherence to the Theme||Originality,2019-08-04 21:00:00,GMTK Game Jam 2019,7591,46600.0,2622,2019-08-02 19:00:00,https://www.itch.io/jam/gmtk-2019
Overall||THEME||VISUALS||AUDIO||POLISH||FUN FACTOR,2019-07-08 06:00:00,★ JUNE/JULY JACKPOT JAM ★ WIN $$$,721,779.0,60,2019-06-22 05:00:00,https://www.itch.io/jam/junejulyjackpotjam
Overall||Use of theme||Composition||Fun,2019-05-08 03:59:59,2019 Spring #ue4jam: Marketplace Takeover,750,0.0,183,2019-05-02 19:00:00,https://www.itch.io/jam/2019-spring-ue4jam-marketplace-takeover
Overall||Graphics||Audio||Enjoyment||Authenticity (Use of 64x64 limit),2017-08-16 23:00:00,#LOWREZJAM 2017,756,2642.0,229,2017-07-31 23:00:00,https://www.itch.io/jam/lowrezjam2017
Overall,2019-08-14 03:59:59,2019 Summer #ue4jam,782,0.0,223,2019-08-08 18:00:00,https://www.itch.io/jam/2019-summer-ue4jam
Overall||Fun||Visual Aesthetics||Use of Theme,2018-05-15 18:00:00,2018 Spring #ue4jam,784,0.0,167,2018-05-10 19:00:00,https://www.itch.io/jam/2018-spring-ue4jam
Overall,2019-08-27 06:59:59,Extra Credits Game Jam #5,866,0.0,186,2019-08-23 03:00:00,https://www.itch.io/jam/extra-credits-game-jam-5
Overall||Game Design||Fun||Innovation||Theme||Graphics||Audio,2018-09-01 07:00:00,Brackeys Game Jam,872,1445.0,166,2018-08-25 07:00:00,https://www.itch.io/jam/brackeys
Overall||Originality||Graphics||Audio||Story||Controls||Fun||Theme,2018-02-19 05:59:59,MonoGameJam,49,60.0,10,2018-02-11 03:00:00,https://www.itch.io/jam/monogamejam
Overall,2018-11-19 06:00:00,Games vs Nazis II,35,0.0,8,2018-11-09 06:00:00,https://www.itch.io/jam/games-vs-nazis-ii
Overall||Theme||Creativity||Technical Achievmant||Polish||Entertainment||Bonus Points,2018-06-18 00:29:00,GCO Game Jam 2018,33,35.0,10,2018-06-16 00:00:00,https://www.itch.io/jam/gco-game-jam-2018
Overall Enjoyment||Use Of Theme||Creativity||Visuals||Gameplay Enjoyment||Audio,2019-09-09 03:59:59,Untitled Game Jam #6,30,7.0,2,2019-08-30 04:00:00,https://www.itch.io/jam/untitled-game-jam-6
Fun||This Game Will Have A Good Future||Personal (you cant describe but still you want to vote for it),2019-08-30 17:00:00,Only Card Game Allowed,27,0.0,2,2019-08-06 17:00:00,https://www.itch.io/jam/only-card-game
Overall||Creativity||Artistry||Musicality||Funability,2016-05-15 19:30:00,/r/WebGames Game Jam,27,84.0,9,2016-05-08 19:00:00,https://www.itch.io/jam/webgames-game-jam
Overall||Audio||Originalidad||Jugabilidad||Tema||Gráficos,2019-08-08 18:00:00,Indie Dev Jam en Español #4,26,49.0,9,2019-08-01 18:00:00,https://www.itch.io/jam/indie-dev-jam-es-4
Overall||fun||originality||creativity||art style,2017-02-21 23:00:00,Yoobee Game Jam,24,90.0,25,2016-04-10 12:00:00,https://www.itch.io/jam/yoobee
Overall||Dank||Trip||Chill||Wave,2018-09-14 23:00:00,UE4.20,18,0.0,1,2018-08-31 23:00:00,https://www.itch.io/jam/420
Overall,2018-11-24 00:00:00,PG game jam,13,0.0,3,2018-11-21 00:00:00,https://www.itch.io/jam/pg-game-jam
Offensive Game||Theme||Art||Mechanics||Addictive||Funny||Sh*t game :(||Music,2018-09-15 21:59:59,BLACK HUMOR JAM,10,0.0,3,2018-09-11 15:25:00,https://www.itch.io/jam/black-jam
Overall||Creativity||Experience||Relevance to Theme,2019-04-26 04:00:00,UJC #2- Youtube Judging of the Jam- Medicine Theme,7,0.0,2,2019-04-01 04:00:00,https://www.itch.io/jam/ujc-2-youtube-judging-
Overall||How well does it defy the genre?||Does it play well?,2017-05-31 19:21:45,Break the Box Jam,6,0.0,1,2017-05-17 19:22:04,https://www.itch.io/jam/break-the-box-defy-expectations
Overall||Did it match the theme?||Is it fun?||Is it complete?||Final Game Presentation?,2018-02-05 07:40:59,OC Tilted Game Jam February 2018,5,1.0,1,2018-02-04 19:00:00,https://www.itch.io/jam/oc-tilted-game-jam-february-2018
Overall||Creativity and Design||Innovation||Music||UI||Graphics,2018-02-01 18:30:00,Get a PAID asset_JAM #1,3,4.0,2,2018-01-26 18:30:00,https://www.itch.io/jam/get-a-paid-asset-jam-1
Overall||Graphics - How well are the graphics implemented into the game?||Story/Purpose - Does it stand out as a completely different game?||Originality - Is the game original or a complete knockoff?,2015-11-22 05:00:00,2D Physics Game Jam - November 2015,1,3.0,1,2015-11-01 04:00:00,https://www.itch.io/jam/2dphysics-november
Overall,2015-10-25 04:00:00,Pinball jammin',1,0.0,1,2015-10-13 04:00:00,https://www.itch.io/jam/pinball-jammin
Overall||Addictive||Comedy||Management||Design||Innovative||Mood||the thing,2015-07-30 18:00:00,"Tycoon Jam #1,theme (Small business)",1,2.0,1,2015-06-29 18:00:00,https://www.itch.io/jam/Tj
Overall,2018-06-29 07:00:00,-Unofficial- Bitsy Jam,1,0.0,1,2018-06-24 07:00:00,https://www.itch.io/jam/-unofficial-bitsy-jam
Overall||Story||Creativity||Graphics||Sound||Themes,2015-07-29 22:00:00,The CMG Summer July Jam 2015,1,0.0,1,2015-06-30 22:00:00,https://www.itch.io/jam/cmg-summer-jam-2015
Overall,2016-02-29 17:30:00,Galactic Studios Signup Exam,1,0.0,1,2016-01-03 00:20:12,https://www.itch.io/jam/galactic-studios-signup-exam
Animeness||Originality||Plot||Quality,2017-11-01 13:00:00,Anime Jam,1,0.0,1,2017-10-29 13:00:00,https://www.itch.io/jam/anime-jam
Overall||Overall||Gameplay||Fun||Story||Mood||Audio-,2016-05-31 01:00:00,Drug Jam #3,1,1.0,1,2016-05-28 01:00:00,https://www.itch.io/jam/drug-jam-3
Overall||Best Graphics||Best Music||Best SFX||Best Overall,2015-10-12 22:01:55,Burgers 'N' Fries Jam III,1,1.0,1,2015-10-08 22:01:15,https://www.itch.io/jam/burgers-n-fries-jam-iii
Overall||Creativy||Originality||Replay Value||Enjoyment,2016-01-12 00:00:00,RPG Maker Jam 1,1,0.0,1,2015-12-05 00:00:00,https://www.itch.io/jam/rpg-maker-jam-1
Overall,2018-05-06 14:59:59,일주일에 게임 하나 만들기(Game A Week) 1805[00],1,0.0,1,2018-04-29 15:00:00,https://www.itch.io/jam/game-a-week-180500
Entretainment||Fun||Visual Looking||Addiction||Game Concept,2019-09-02 05:00:00,The AmericaS Jam´s,1,0.0,1,2019-08-31 03:00:00,https://www.itch.io/jam/the-americas-jams
Overall||Jugabilidad||Audio||Arte||Tema||Penetración en redes sociales||Uso de diversificadores.,2015-07-24 22:00:00,Game Jam de Comunidades CPMX6 Reto 24,1,0.0,1,2015-07-23 20:00:00,https://www.itch.io/jam/jamcomunidadescpmx6_reto_24
Overall||Relation to topic||Creativity||Fun,2018-02-22 22:00:00,Scenic screenshot jam #1,1,0.0,1,2018-02-15 22:00:00,https://www.itch.io/jam/scenic-screenshot-jam-1
1. Amount of Crust||2. Playability||3. Amount Of Work Put In,2019-06-01 02:59:59,The Crusty Jam 2019,1,0.0,1,2019-03-29 03:00:00,https://www.itch.io/jam/the-crusty-jam-2019
Imaginativeness||Story||Gameplay,2019-07-14 06:07:07,The L'aal Platformer Jam #1,1,0.0,1,2019-07-07 06:07:07,https://www.itch.io/jam/the-laal-platformer-jam
Did you work well?||Is it a game?||Are you proud?,2019-04-19 21:23:23,[Late] Motivation Game Jam,1,0.0,1,2019-04-17 12:14:14,https://www.itch.io/jam/late-motivation-game-jam
Story||Gameplay||Map||Attention to detail||Engaging story,2019-03-06 03:00:00,OddPotato Jam (Once Upon A Time),1,0.0,1,2019-02-16 02:00:00,https://www.itch.io/jam/oddpotato-jam
Overall||Enjoyability||Mechanics||Thoughtfullness,2015-04-30 05:00:00,The Minigame Collection,1,0.0,1,2015-03-09 05:00:00,https://www.itch.io/jam/minigamecollection
Overall,2018-11-17 06:00:00,Nor Gamez,1,0.0,1,2018-11-10 06:00:00,https://www.itch.io/jam/nor-gamez
Overall||Divertido||Funcional||Artístico||Científico,2015-10-24 17:30:00,CCD: La ciencia del arte - Jam Cervantino,1,0.0,1,2015-10-21 21:00:00,https://www.itch.io/jam/lacienciadelarte
Overall||References to YouTube videos from this YouTuber||How ejoyable the game is to play||Overall graphics of the game||Overall physics of the game,2016-09-01 03:59:59,2D Fan Games,1,0.0,1,2016-08-29 04:00:00,https://www.itch.io/jam/fan-games
Overall||Theme||Replayability||Creativity||Concept,2019-04-14 14:00:00,Kingsbuild Jam - No.1,1,1.0,1,2019-03-31 13:00:00,https://www.itch.io/jam/kingsbuild-jam-no-1
Overall,2015-07-31 22:59:59,The Unofficial NerdCubed Community Game Jam 2015,1,0.0,1,2015-06-30 23:00:00,https://www.itch.io/jam/n3jam2015
Overall,2017-07-31 22:00:00,5th Indie Game Contest,1,0.0,1,2017-07-25 22:00:00,https://www.itch.io/jam/5th-indie-game-contest
"How ""anty"" is the game?||How detailed is the game?||Did you enjoy the game?",2017-09-20 04:00:00,The Theme Jam - #1,1,0.0,1,2017-09-13 04:00:00,https://www.itch.io/jam/theme-game-jam-1-september
Overall||Creativity?||Graphics?||Cat power?,2015-11-02 04:59:00,Cat Attacks,1,1.0,1,2015-10-18 04:00:00,https://www.itch.io/jam/catattacks
Overall,2018-12-29 20:00:00,MIDWEEK ANIMAL JAM,1,0.0,1,2018-12-26 08:00:00,https://www.itch.io/jam/midweek-animal-jam
Overall||Gameplay||Graphics,2017-09-24 22:00:00,EGA JAM,1,0.0,1,2017-09-07 22:00:00,https://www.itch.io/jam/ega-jam
Overall||Fun||Graphics||Sound/Music||Controls/Gameplay||Overall,2015-06-17 16:00:00,What Ever Floats Your Boat Jam,2,2.0,2,2015-06-14 16:00:00,https://www.itch.io/jam/what-floats-your-boat-jam
